type,reference,main_tex_lines,status,package_source,generator_files_exist,output_exists
figure,figures/2020_Indian_farmers_protest.jpg,716,static_asset,externally supplied photograph,,
figure,figures/5km_plot.png,712,generated,python/generate_protest_figures.py,true,
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_1_ori.png,1529,generated,_app_16_polischar_fe12_evst_all.do; plotting_event_studies.R,true,
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_1_rot_honest2.png,1536,generated,_app_16_polischar_fe12_evst_all.do; plotting_event_studies.R,true,
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_1_rotated.png,"850,1533",generated,_app_16_polischar_fe12_evst_all.do; plotting_event_studies.R,true,
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_riceP_5_rotated.png,1571,generated,_app_16_polischar_fe12_evst_all.do; plotting_event_studies.R,true,
figure,figures/_app_17_5km_fe12_evst_all_rural_acpop_1_honest2.png,1470,generated,_app_17_5km_fe12_evst_all.do; plotting_event_studies.R,true,
figure,figures/_app_17_5km_fe12_evst_all_rural_acpop_1_ori.png,1463,generated,_app_17_5km_fe12_evst_all.do; plotting_event_studies.R,true,
figure,figures/_app_17_5km_fe12_evst_all_rural_acpop_1_rotated.png,"723,1467",generated,_app_17_5km_fe12_evst_all.do; plotting_event_studies.R,true,
figure,figures/_app_18_protest_5km_fe12_did_downup_plot_rural_acpop_1.png,727,generated,_app_18_protest_5km_fe12_did_downup_plot.do; _generate_interaction_plots.do; interaction_graph.ado,true,
figure,figures/_app_19_polischar_fe12_did_downup_inter_plot_rural_acpop_1.png,855,generated,_app_19_polischar_fe12_did_downup_inter_plot.do; _generate_interaction_plots.do; interaction_graph.ado,true,
figure,figures/ac_protest_plot.png,1390,generated,python/generate_protest_figures.py,true,
figure,figures/acs_grids_radius12km.png,1100,generated,python/generate_design_maps.py,true,
figure,figures/cnn.png,94,static_asset,externally supplied illustration,,
figure,figures/downup_evtime_hist.png,1093,generated,python/generate_descriptive_figures.py,true,
figure,figures/map_grids.png,357,generated,python/generate_design_maps.py,true,
figure,figures/march2013_plot.png,370,generated,python/generate_design_maps.py,true,
figure,figures/monthly_fires.png,1066,generated,python/generate_descriptive_figures.py,true,
figure,figures/monthly_wind_direction.png,1067,generated,python/generate_descriptive_figures.py,true,
figure,figures/myneta_example2.png,846,static_asset,externally supplied MyNeta screenshot,,
figure,figures/neighbor_output.pdf,501,generated,_main_6_neighbour.do; _main_6_neighbour_plot.do,true,
figure,figures/october2013_plot.png,371,generated,python/generate_design_maps.py,true,
figure,figures/panel_A_downwind.png,364,generated,python/generate_design_maps.py,true,
figure,figures/panel_B_downwind.png,366,generated,python/generate_design_maps.py,true,
figure,figures/panel_C_upwind.png,365,generated,python/generate_design_maps.py,true,
figure,figures/panelview_self_profession.png,842,generated,python/generate_descriptive_figures.py,true,
figure,figures/protests_monthly_bars.png,1370,generated,python/generate_protest_figures.py,true,
figure,figures/rices_grids_150dpi_q75.pdf,1077,static_asset,externally supplied/compressed rice map,,
figure,figures/stacked_event_study_5pre_rural_1_rotated.png,1265,generated,_main_2_stacked_event_study_5pre_area.do; plotting_event_studies.R,true,
figure,figures/stacked_event_study_pop_5pre_rural_1_ori.png,1231,generated,_main_2_stacked_event_study_5pre.do; plotting_event_studies.R,true,
figure,figures/stacked_event_study_pop_5pre_rural_1_rot_honest2.png,1236,generated,_main_2_stacked_event_study_5pre.do; plotting_event_studies.R,true,
figure,figures/stacked_event_study_pop_5pre_rural_1_rotated.png,"455,1233",generated,_main_2_stacked_event_study_5pre.do; plotting_event_studies.R,true,
figure,figures/stacked_event_study_pop_5pre_rural_riceP_rotated,1299,generated,_main_2_stacked_event_study_5pre.do; plotting_event_studies.R,true,
table,tables/_app_11_placebo_pop_13km_rural,1313,generated,_app_11_placebo_pop_13km.do; _generate_all_tables.do,true,
table,tables/_app_6_main_did_treat_definition_rural_acpop_new,1142,generated,_app_6_main_did_treat_definition.do; _generate_all_tables.do,true,
table,tables/_app_6_main_did_treat_definition_rural_acpop_new2,1157,generated,_app_6_main_did_treat_definition.do; _generate_all_tables.do,true,
