Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-0.015868030602431013,0.0002514993468864968,-0.016360960264463893,-0.015375100940398134,299728.0,57847.0,299728.0,57847.0
Effect_2,-0.041526698433374316,0.0007984453069927371,-0.043091622478705106,-0.039961774388043526,277983.0,55586.0,277983.0,55586.0
Effect_3,-0.0039863526119911456,0.0004111784096921473,-0.0047922474862082095,-0.0031804577377740817,258635.0,54666.0,258635.0,54666.0
Effect_4,0.0014148559597326955,0.0009764895664727965,-0.0004990284218331167,0.003328740341298508,249943.0,54163.0,249943.0,54163.0
Effect_5,0.0039742446148150435,0.0003108761334322071,0.0033649385896348492,0.004583550639995238,241913.0,53828.0,241913.0,53828.0
Effect_6,-0.0017081957324287269,0.0003862801428092021,-0.002465290900277752,-0.000951100564579702,233125.0,53736.0,233125.0,53736.0
Average_Total_Effect,-0.01870520689026577,0.0007201107648103162,-0.02011659805417358,-0.017293815726357957,1080919.0,329826.0,1080919.0,329826.0
Placebo_1,-0.022311162668308744,0.0008014995694362494,-0.023882072958028154,-0.020740252378589334,227302.0,40641.0,227302.0,40641.0
Placebo_2,-0.013393514611530677,0.002683971777542508,-0.01865400263103594,-0.008133026592025411,181773.0,35846.0,181773.0,35846.0
Placebo_3,0.0035761070765475784,0.004717095091734089,-0.005669229414901898,0.012821443567997054,145828.0,33470.0,145828.0,33470.0
Placebo_4,0.0015032326669063491,0.004749699093160386,-0.007806006493090563,0.010812471826903262,124923.0,31934.0,124923.0,31934.0
Placebo_5,0.007568367731281369,0.0038959179675074665,-6.749117175575397e-05,0.015204226634318491,106624.0,30977.0,106624.0,30977.0
Placebo_6,0.023943349256650304,0.00389736253677519,0.01630465904987527,0.03158203946342534,103385.0,30577.0,103385.0,30577.0
