Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-15.868030602431018,0.2514993468864967,-16.3609602644639,-15.375100940398138,299728.0,57847.0,299728.0,57847.0
Effect_2,-41.526698433374314,0.7984453069927373,-43.091622478705105,-39.96177438804352,277983.0,55586.0,277983.0,55586.0
Effect_3,-3.9863526119911485,0.41117840969214703,-4.792247486208212,-3.180457737774085,258635.0,54666.0,258635.0,54666.0
Effect_4,1.414855959732698,0.9764895664727975,-0.49902842183311624,3.328740341298512,249943.0,54163.0,249943.0,54163.0
Effect_5,3.9742446148150457,0.31087613343220727,3.364938589634851,4.58355063999524,241913.0,53828.0,241913.0,53828.0
Effect_6,-1.7081957324287307,0.38628014280920253,-2.4652909002777563,-0.9511005645797049,233125.0,53736.0,233125.0,53736.0
Average_Total_Effect,-18.70520689026578,0.7201107648103161,-20.116598054173593,-17.29381572635797,1080919.0,329826.0,1080919.0,329826.0
Placebo_1,-22.311162668308754,0.8014995694362492,-23.88207295802816,-20.740252378589346,227302.0,40641.0,227302.0,40641.0
Placebo_2,-13.39351461153068,2.683971777542508,-18.654002631035944,-8.133026592025415,181773.0,35846.0,181773.0,35846.0
Placebo_3,3.576107076547581,4.717095091734092,-5.669229414901901,12.821443567997063,145828.0,33470.0,145828.0,33470.0
Placebo_4,1.503232666906349,4.749699093160386,-7.806006493090562,10.812471826903261,124923.0,31934.0,124923.0,31934.0
Placebo_5,7.5683677312813735,3.8959179675074673,-0.06749117175575137,15.204226634318498,106624.0,30977.0,106624.0,30977.0
Placebo_6,23.943349256650308,3.89736253677519,16.304659049875273,31.582039463425343,103385.0,30577.0,103385.0,30577.0
