Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-5.486550192656165,12.92496608138782,-30.819018213578087,19.84591782826576,1742530.0,66832.0,1742530.0,66832.0
Effect_2,-37.800845975293385,18.908122205238396,-74.8600845128427,-0.7416074377440651,1684481.0,66820.0,1684481.0,66820.0
Effect_3,2.37634252084976,7.058479406265435,-11.458022901048157,16.210707942747675,1629870.0,66810.0,1629870.0,66810.0
Effect_4,-23.42168550960315,10.602006000343422,-44.20123543415381,-2.6421355850524932,1582239.0,66805.0,1582239.0,66805.0
Effect_5,-20.470448088252976,13.395978245717533,-46.726082987541396,5.7851868110354445,1531208.0,66760.0,1531208.0,66760.0
Effect_6,-4.938743262817422,8.987913856942827,-22.55473071857385,12.677244192939007,1481166.0,66754.0,1481166.0,66754.0
Average_Total_Effect,-30.16282033013658,15.788880483289752,-61.10845743359185,0.7828167733186966,2106883.0,400781.0,2106883.0,400781.0
Placebo_1,-0.9338161784189727,12.02307954352297,-24.498619066984265,22.63098671014632,1665795.0,48240.0,1665795.0,48240.0
Placebo_2,-32.58057595964307,30.41169064593949,-92.18639433465813,27.025242415371984,1555224.0,44718.0,1555224.0,44718.0
Placebo_3,-5.436211018673494,11.905634618535306,-28.770826084095958,17.898404046748972,1452007.0,42597.0,1452007.0,42597.0
Placebo_4,5.164515611739558,9.194728438665672,-12.856820975671363,23.18585219915048,1357584.0,41107.0,1357584.0,41107.0
Placebo_5,1.1353225166946126,9.159853644701922,-16.817660730579103,19.088305763968325,1269977.0,40116.0,1269977.0,40116.0
Placebo_6,-15.226176820761076,12.921688301816385,-40.552220511773726,10.09986687025157,1238521.0,39232.0,1238521.0,39232.0
