Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,13.53666909477592,0.7322591012514417,12.101467628971426,14.971870560580415,21298.0,7181.0,21298.0,7181.0
Effect_2,5.077644192804536,1.8689474324975306,1.4145745361107722,8.7407138494983,16928.0,5808.0,16928.0,5808.0
Effect_3,8.359594674099815,3.7369551659279754,1.0352971370400823,15.683892211159549,13468.0,4717.0,13468.0,4717.0
Effect_4,-2.0950479749346997,2.9053990903613562,-7.789525552758391,3.5994296028889923,11135.0,4099.0,11135.0,4099.0
Effect_5,-7.159411422716865,2.4583195340022996,-11.97762917185266,-2.341193673581069,9505.0,3615.0,9505.0,3615.0
Effect_6,-23.985883790930213,0.9499873806580843,-25.847824842787603,-22.123942739072824,7580.0,2986.0,7580.0,2986.0
Average_Total_Effect,3.425920877433781,2.8681427980901395,-2.1955357093408288,9.04737746420839,63754.0,28406.0,63754.0,28406.0
Placebo_1,14.702026726209812,1.1337290715678359,12.479958577710821,16.924094874708803,17707.0,6257.0,17707.0,6257.0
Placebo_2,-20.15591775145921,4.380320631977158,-28.741188430872167,-11.570647072046253,11682.0,4393.0,11682.0,4393.0
Placebo_3,-27.5856885539452,8.148885134598405,-43.557209931911906,-11.614167175978496,6627.0,2729.0,6627.0,2729.0
Placebo_4,-28.314697388956073,11.178072199196183,-50.22331631596903,-6.4060784619431175,4136.0,1735.0,4136.0,1735.0
Placebo_5,6.160808759583126,8.67627403704535,-10.844375873025697,23.16599339219195,3008.0,1315.0,3008.0,1315.0
