Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-8.06462024648913,15.722954898349176,-38.88104557780114,22.751805084822884,75445.0,10462.0,75445.0,10462.0
Effect_2,-22.369112211669147,13.72677899306473,-49.27310466181701,4.5348802384787135,65204.0,10351.0,65204.0,10351.0
Effect_3,-8.243309071579295,15.360227629570792,-38.348802019875095,21.8621838767165,55654.0,9281.0,55654.0,9281.0
Effect_4,-20.62305747517669,22.14716885072986,-64.03071078213455,22.78459583178117,47968.0,8723.0,47968.0,8723.0
Effect_5,49.59092535294169,38.79721239048859,-26.450213632967085,125.63206433885045,43288.0,8331.0,43288.0,8331.0
Effect_6,12.544560079515419,37.769199053231084,-61.481709789741814,86.57082994877265,40668.0,8279.0,40668.0,8279.0
Average_Total_Effect,-1.999039005398551,29.677914582543796,-60.166682723440466,56.168604712643365,120410.0,55427.0,120410.0,55427.0
Placebo_1,-0.47323085623418254,20.009930247020076,-39.691973473552196,38.74551176108383,64050.0,9197.0,64050.0,9197.0
Placebo_2,-25.34360099141012,28.115529466915607,-80.44902615283934,29.761824170019096,46705.0,7460.0,46705.0,7460.0
Placebo_3,-25.289468889414284,20.193459791823695,-64.86792280464643,14.288985025817855,37579.0,5190.0,37579.0,5190.0
Placebo_4,-39.82637570267896,22.07238989657567,-83.08746495269304,3.4347135473351287,32564.0,3066.0,32564.0,3066.0
Placebo_5,-3.82487039585938,11.720097391994548,-26.795839179470512,19.14609838775175,25309.0,1624.0,25309.0,1624.0
Placebo_6,-6.76773138462405,14.693215812290871,-35.565905193788595,22.030442424540492,20876.0,429.0,20876.0,429.0
