Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,5.975973759772282,1.7847635880094361,2.477901406355304,9.47404611318926,20493.0,6901.0,20493.0,6901.0
Effect_2,-22.08420059853205,2.259507708506157,-26.512754329994745,-17.655646867069354,16226.0,5513.0,16226.0,5513.0
Effect_3,-30.2854847705571,2.3889453172042026,-34.96773155331295,-25.60323798780125,12857.0,4486.0,12857.0,4486.0
Effect_4,-26.468036989680826,1.9588488685417282,-30.30731022317965,-22.628763756182003,10822.0,3944.0,10822.0,3944.0
Effect_5,-6.239198114693675,4.629035265013753,-15.311940517286455,2.8335442878991053,9421.0,3536.0,9421.0,3536.0
Effect_6,-4.404278771698847,4.570208656076081,-13.361723139441168,4.553165596043474,7719.0,3012.0,7719.0,3012.0
Average_Total_Effect,-21.298410057147755,2.4369629330973694,-26.074769637677694,-16.522050476617817,62071.0,27392.0,62071.0,27392.0
Placebo_1,-26.845424955232403,1.2457694089023235,-29.287088129722708,-24.403761780742098,17873.0,6260.0,17873.0,6260.0
Placebo_2,-21.494206051867405,5.3064359919419095,-31.894629482340626,-11.093782621394185,12033.0,4442.0,12033.0,4442.0
Placebo_3,-64.25529056052733,6.944132965626036,-77.86554107701167,-50.64504004404298,7098.0,2843.0,7098.0,2843.0
Placebo_4,-21.31136887189709,9.691993446432372,-40.30732696530278,-2.315410778491408,4575.0,1880.0,4575.0,1880.0
Placebo_5,-2.765979634001826,6.753438500523303,-16.002475866833688,10.470516598830034,3377.0,1433.0,3377.0,1433.0
