Block,Estimate,SE,LB CI,UB CI,N,Switchers,N.w,Switchers.w
Effect_1,-20.235688351360388,9.267133295142607,-38.39893584977189,-2.0724408529488834,5621395.0,594401.0,5621395.0,594401.0
Effect_2,-30.05007406252052,13.646361301368048,-56.79645073322304,-3.3036973918180017,5014348.0,571838.0,5014348.0,571838.0
Effect_3,2.4555783651598215,6.630156047442369,-10.53928869970766,15.450445430027303,4216904.0,326215.0,4216904.0,326215.0
Effect_4,-2.2689915257091995,6.478082911258389,-14.965800720640026,10.427817669221625,3640991.0,288916.0,3640991.0,288916.0
Effect_5,-4.211936464796929,7.71684360917577,-19.336672013109524,10.912799083515665,3086974.0,263308.0,3086974.0,263308.0
Effect_6,9.874526697928783,11.59657359492887,-12.854339892199985,32.603393288057546,2559422.0,254065.0,2559422.0,254065.0
Average_Total_Effect,-14.905068521463694,7.518397700509018,-29.64085723591013,-0.16927980701725787,7325737.0,2298743.0,7325737.0,2298743.0
Placebo_1,-3.9479933803951734,6.767602727399544,-17.212250987773324,9.316264226982975,4854045.0,411535.0,4854045.0,411535.0
Placebo_2,-0.7977054104742436,18.948140632646794,-37.935378624461954,36.33996780351347,3708384.0,356309.0,3708384.0,356309.0
Placebo_3,26.701220003600167,18.536654410922992,-9.629955035674431,63.03239504287477,2402836.0,97479.0,2402836.0,97479.0
Placebo_4,17.822277111974294,18.818366887807304,-19.06104423598913,54.70559845993772,1338005.0,49975.0,1338005.0,49975.0
Placebo_5,43.34347702937778,28.84740230228768,-13.196392530643912,99.88334658939948,382728.0,14267.0,382728.0,14267.0
