package_file,primary_source,priority_note
analysis/main_did_area.do,code/_replication_rural/_main_1_did.do,area counterpart
analysis/main_did_acpop_stacked.do,code/_stacked_downup_replication/_main_1_did.do,authoritative stacked version
analysis/bureaucrat_politician_area.do,code/_replication_rural/_main_3_bureau_polisc_did.do,area counterpart
analysis/bureaucrat_politician_acpop_stacked.do,code/_stacked_downup_replication/_main_3_bureau_polisc_did.do,authoritative stacked version
analysis/treatment_definitions_area.do,code/_replication_rural/_app_6_main_did_treat_definition.do,area counterpart
analysis/treatment_definitions_acpop.do,code/_stacked_downup_replication/_app_6_main_did_treat_definition.do,authoritative stacked version
analysis/alternative_outcomes_area.do,code/_replication_rural/_app_7_main_did_downup_area_ac_dv.do,area counterpart
analysis/alternative_outcomes_acpop_stacked.do,code/_stacked_downup_replication/_app_7_main_did_downup_area_ac_dv.do,authoritative stacked version
analysis/by_year_area.do,code/_replication_rural/_app_8_main_did_by_year.do,area counterpart
analysis/by_year_acpop_stacked.do,code/_stacked_downup_replication/_app_8_main_did_by_year.do,authoritative stacked version
analysis/by_state_area.do,code/_replication_rural/_app_9_main_did_by_state.do,area counterpart
analysis/by_state_acpop_stacked.do,code/_stacked_downup_replication/_app_9_main_did_by_state.do,authoritative stacked version
analysis/placebo_13km.do,code/_stacked_downup_replication/_app_11_placebo_pop_13km.do,authoritative stacked version
analysis/main_event_study_area.do,code/_replication_rural/_main_2_event_study.do,active area output
analysis/protest_did_area.do,code/_replication_rural/_app_12_protest_5km_fe_did.do,active area output
analysis/protest_downup_area.do,code/_replication_rural/_main_4_protest_5km_fe12_did_downup.do,area counterpart
analysis/protest_downup_acpop.do,code/_replication_rural_acpop/_main_4_protest_5km_fe12_did_downup.do,population counterpart
analysis/politician_characteristics_area.do,code/_replication_rural/_main_5_polischar_fe12_did_downup_inter.do,area counterpart
analysis/politician_characteristics_acpop.do,code/_replication_rural_acpop/_main_5_polischar_fe12_did_downup_inter.do,population counterpart
analysis/politician_event_study_area.do,code/_replication_rural/_app_16_polischar_fe12_evst_all.do,area counterpart
analysis/politician_event_study_acpop.do,code/_replication_rural_acpop/_app_16_polischar_fe12_evst_all.do,population counterpart
analysis/protest_event_study_area.do,code/_replication_rural/_app_17_5km_fe12_evst_all.do,area counterpart
analysis/protest_event_study_acpop.do,code/_replication_rural_acpop/_app_17_5km_fe12_evst_all.do,population counterpart
analysis/protest_interaction_area.do,code/_replication_rural/_app_18_protest_5km_fe12_did_downup_plot.do,area counterpart
analysis/protest_interaction_acpop.do,code/_replication_rural_acpop/_app_18_protest_5km_fe12_did_downup_plot.do,population counterpart
analysis/politician_interaction_area.do,code/_replication_rural/_app_19_polischar_fe12_did_downup_inter_plot.do,area counterpart
analysis/politician_interaction_acpop.do,code/_replication_rural_acpop/_app_19_polischar_fe12_did_downup_inter_plot.do,population counterpart
analysis/stacked_event_study_5pre_area.do,code/_stacked_downup/_stacked_analysis_5pre.do,cleaned to current event-study conventions
analysis/stacked_event_study_5pre_acpop.do,code/_stacked_downup/_stacked_analysis_pop_5pre.do,cleaned to current event-study conventions
analysis/neighbour_effects.do,code/_replication_rural_acpop/_main_6_neighbour.do,cleaned active neighbour output
