type,reference,main_tex_lines,status,package_source
bibliography,all_references,721,static_asset,bibliography source asset; not present in this repository snapshot
figure,figures/10_pr_cluster_2022_10km.png,1720,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_pjhy.png,1756,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_pjhy_spec2.png,1762,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_pjhy_spec3.png,1768,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_riceareas.png,1738,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_riceareas_pjhy.png,1774,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_riceareas_pjhy_spec2.png,1780,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_riceareas_pjhy_spec3.png,1786,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_riceareas_spec2.png,1744,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_riceareas_spec3.png,1750,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_spec2.png,1726,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_10km_spec3.png,1732,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km.png,1637,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_pjhy.png,1673,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_pjhy_spec2.png,1679,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_pjhy_spec3.png,1685,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_riceareas.png,1655,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_riceareas_pjhy.png,1691,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_riceareas_pjhy_spec2.png,1697,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_riceareas_pjhy_spec3.png,1703,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_riceareas_spec2.png,1661,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_riceareas_spec3.png,1667,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_spec2.png,1643,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_2km_spec3.png,1649,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km.png,1852,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_pjhy.png,1888,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_pjhy_spec2.png,1894,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_pjhy_spec3.png,1900,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_riceareas.png,1870,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_riceareas_pjhy.png,1906,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_riceareas_pjhy_spec2.png,1912,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_riceareas_pjhy_spec3.png,1918,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_riceareas_spec2.png,1876,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_riceareas_spec3.png,1882,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_spec2.png,1858,code_not_found,No generating code located in the audited repository folders
figure,figures/10_pr_cluster_2022_5km_spec3.png,1864,code_not_found,No generating code located in the audited repository folders
figure,figures/10km_plot.png,1591,code_not_found,No generating code located in the audited repository folders
figure,figures/2020_Indian_farmers_protest.jpg,256,static_asset,externally supplied photograph; not present in this repository snapshot
figure,figures/2km_plot.png,1585,code_not_found,No generating code located in the audited repository folders
figure,figures/5km_plot.png,562,generated,python/generate_protest_figures.py
figure,figures/9_ac_treatment_level.png,2126,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_pjhy.png,2162,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_pjhy_spec2.png,2168,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_pjhy_spec3.png,2174,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_riceareas.png,2144,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_riceareas_pjhy.png,2180,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_riceareas_pjhy_spec2.png,2186,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_riceareas_pjhy_spec3.png,2192,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_riceareas_spec2.png,2150,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_riceareas_spec3.png,2156,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_spec2.png,2132,code_not_found,No generating code located in the audited repository folders
figure,figures/9_ac_treatment_level_spec3.png,2138,code_not_found,No generating code located in the audited repository folders
figure,figures/HONEST_eventStudy_estimates_acxminagri5.png,2032,code_not_found,No generating code located in the audited repository folders
figure,figures/HONEST_eventStudy_estimates_acxrice5.png,1990,code_not_found,No generating code located in the audited repository folders
figure,figures/Interaction_downwind/_app_downup_rel_polischar.png,2333,generated,analysis/politician_interaction_area.do; generate_interaction_plots.do
figure,figures/Interaction_downwind/_app_downup_rel_protest.png,2300,generated,analysis/protest_interaction_area.do; generate_interaction_plots.do
figure,figures/NOT_ROTATED_eventStudy_acxminagri5.png,2019,code_not_found,No generating code located in the audited repository folders
figure,figures/NOT_ROTATED_eventStudy_acxrice5.png,1977,code_not_found,No generating code located in the audited repository folders
figure,figures/ROTATED_eventStudy_acxminagri5.png,2025,code_not_found,No generating code located in the audited repository folders
figure,figures/ROTATED_eventStudy_acxrice5.png,1983,code_not_found,No generating code located in the audited repository folders
figure,figures/_app_16_polischar_fe12_evst_all_rural_1_ori.png,2348,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_16_polischar_fe12_evst_all_rural_1_rot_honest2.png,2349,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_16_polischar_fe12_evst_all_rural_1_rotated.png,2328,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_1_ori.png,1314,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_1_rot_honest2.png,1321,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_1_rotated.png,"677,1318",generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_16_polischar_fe12_evst_all_rural_acpop_riceP_5_rotated.png,1356,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_16_polischar_fe12_evst_all_rural_riceP_5_rotated.png,2340,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_17_5km_fe12_evst_all_rural_1_honest2.png,2318,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_17_5km_fe12_evst_all_rural_1_ori.png,2317,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_17_5km_fe12_evst_all_rural_1_rotated.png,2295,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_17_5km_fe12_evst_all_rural_acpop_1_honest2.png,1255,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_17_5km_fe12_evst_all_rural_acpop_1_ori.png,1248,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_17_5km_fe12_evst_all_rural_acpop_1_rotated.png,"567,1252",generated,event-study analysis dofile; plot_event_studies.R
figure,figures/_app_18_protest_5km_fe12_did_downup_plot_rural_acpop_1.png,572,generated,analysis/protest_interaction_acpop.do; generate_interaction_plots.do
figure,figures/_app_19_polischar_fe12_did_downup_inter_plot_rural_acpop_1.png,682,generated,analysis/politician_interaction_acpop.do; generate_interaction_plots.do
figure,figures/ac_level_plot.png,1942,code_not_found,No generating code located in the audited repository folders
figure,figures/ac_protest_plot.png,1175,generated,python/generate_protest_figures.py
figure,figures/acs_grids_radius12km.png,908,generated,python/generate_design_maps.py
figure,figures/cnn.png,94,static_asset,externally supplied illustration; not present in this repository snapshot
figure,figures/demonstrations_choropleth.png,2056,code_not_found,No generating code located in the audited repository folders
figure,figures/downup_evtime_hist.png,901,generated,python/generate_descriptive_figures.py
figure,figures/main_event_study_rural_1_ori.png,2252,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/main_event_study_rural_1_rot_honest2.png,2253,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/main_event_study_rural_1_rotated.png,2232,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/main_event_study_rural_riceP_rotated.png,2244,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/map_grids.png,254,generated,python/generate_design_maps.py
figure,figures/march2013_plot.png,264,generated,python/generate_design_maps.py
figure,figures/monthly_fires.png,874,generated,python/generate_descriptive_figures.py
figure,figures/monthly_wind_direction.png,875,generated,python/generate_descriptive_figures.py
figure,figures/neighbor_output.pdf,394,generated,analysis/neighbour_effects.do; generate_neighbour_plot.do
figure,figures/october2013_plot.png,265,generated,python/generate_design_maps.py
figure,figures/panel_A_downwind.png,259,generated,python/generate_design_maps.py
figure,figures/panel_B_downwind.png,261,generated,python/generate_design_maps.py
figure,figures/panel_C_upwind.png,260,generated,python/generate_design_maps.py
figure,figures/panelview_self_profession.png,673,generated,python/generate_descriptive_figures.py
figure,figures/pr_on_polchar_spec19_rotated.png,1572,code_not_found,No generating code located in the audited repository folders
figure,figures/pr_on_polchar_spec1_rotated.png,1571,code_not_found,No generating code located in the audited repository folders
figure,figures/protests_monthly_bars.png,1155,generated,python/generate_protest_figures.py
figure,figures/rices_grids_150dpi_q75.pdf,885,static_asset,externally supplied/compressed map; not present in this repository snapshot
figure,figures/self_prof.png,1801,code_not_found,No generating code located in the audited repository folders
figure,figures/self_prof_assets.png,1817,code_not_found,No generating code located in the audited repository folders
figure,figures/self_prof_assets_spec2.png,1822,code_not_found,No generating code located in the audited repository folders
figure,figures/self_prof_assets_spec3.jpeg,1827,code_not_found,No generating code located in the audited repository folders
figure,figures/self_prof_spec2.png,1806,code_not_found,No generating code located in the audited repository folders
figure,figures/self_prof_spec3.jpeg,1811,code_not_found,No generating code located in the audited repository folders
figure,figures/stacked_event_study_5pre_rural_1_rotated.png,1050,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/stacked_event_study_pop_5pre_rural_1_ori.png,1016,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/stacked_event_study_pop_5pre_rural_1_rot_honest2.png,1021,generated,event-study analysis dofile; plot_event_studies.R
figure,figures/stacked_event_study_pop_5pre_rural_1_rotated.png,"347,1018",generated,event-study analysis dofile; plot_event_studies.R
figure,figures/stacked_event_study_pop_5pre_rural_riceP_rotated,1083,generated,event-study analysis dofile; plot_event_studies.R
input,auxiliaries/preamble,5,static_asset,LaTeX source asset; not present in this repository snapshot
input,tables/10_pr_cluster_2022_5kmtable,1931,code_not_found,No generating code located in the audited repository folders
input,tables/_app_11_placebo_pop_13km_rural,1097,generated,analysis/placebo_13km.do; generate_tables.do
input,tables/_app_12_protest_5km_fe_did_rural,1188,generated,analysis/protest_did_area.do; generate_tables.do
input,tables/_app_6_main_did_treat_definition_rural,2262,generated,analysis/treatment_definitions_area.do; generate_tables.do
input,tables/_app_6_main_did_treat_definition_rural_acpop,950,generated,analysis/treatment_definitions_acpop.do; generate_tables.do
input,tables/_app_7_main_did_downup_area_ac_dv_rural,2270,generated,analysis/alternative_outcomes_area.do; generate_tables.do
input,tables/_app_7_main_did_downup_area_ac_dv_rural_acpop,963,generated,analysis/alternative_outcomes_acpop_stacked.do; generate_tables.do
input,tables/_app_8_main_did_by_year_rural,2278,generated,analysis/by_year_area.do; generate_tables.do
input,tables/_app_8_main_did_by_year_rural_acpop,989,generated,analysis/by_year_acpop_stacked.do; generate_tables.do
input,tables/_app_9_main_did_by_state_rural,2286,generated,analysis/by_state_area.do; generate_tables.do
input,tables/_app_9_main_did_by_state_rural_acpop,1001,generated,analysis/by_state_acpop_stacked.do; generate_tables.do
input,tables/_edit_pols_char_didtable,1841,code_not_found,No generating code located in the audited repository folders
input,tables/_main_3_bureau_polisc_did_rural,2236,generated,analysis/bureaucrat_politician_area.do; generate_tables.do
input,tables/_main_3_bureau_polisc_did_rural_acpop,"352,1055",generated,analysis/bureaucrat_politician_acpop_stacked.do; generate_tables.do
input,tables/_main_4_protest_5km_fe12_did_downup_rural,2308,generated,analysis/protest_downup_area.do; generate_tables.do
input,tables/_main_4_protest_5km_fe12_did_downup_rural_acpop_new,1231,generated,analysis/protest_downup_acpop.do; generate_tables.do
input,tables/_main_5_polischar_fe12_did_downup_inter_rural.tex,2358,generated,analysis/politician_characteristics_area.do; generate_tables.do
input,tables/_main_5_polischar_fe12_did_downup_inter_rural_acpop.tex,1385,generated,analysis/politician_characteristics_acpop.do; generate_tables.do
input,tables/_politicians_stacked_descriptive,1278,generated,python/generate_descriptive_tables.py (called by generate_tables.do)
input,tables/_protest_stacked_descriptive.tex,1123,generated,python/generate_descriptive_tables.py (called by generate_tables.do)
input,tables/ac_agriwork,2005,code_not_found,No generating code located in the audited repository folders
input,tables/ac_myneta,2047,code_not_found,No generating code located in the audited repository folders
input,tables/ac_rice,1963,code_not_found,No generating code located in the audited repository folders
input,tables/action_final,481,code_not_found,No generating code located in the audited repository folders
input,tables/action_final_additional_disha,1551,code_not_found,No generating code located in the audited repository folders
input,tables/descriptives_main,860,generated,python/generate_descriptive_tables.py (called by generate_tables.do)
input,tables/main_did_downup_area_ac_rural,2228,generated,analysis/main_did_area.do; generate_tables.do
input,tables/main_did_downup_area_ac_rural_acpop,"342,1045",generated,analysis/main_did_acpop_stacked.do; generate_tables.do
input,tables/protest_10km,1618,code_not_found,No generating code located in the audited repository folders
input,tables/protest_2km,1604,code_not_found,No generating code located in the audited repository folders
