reg,ymean,ll0,r2_within,sumweights,N_clustervars,N_clust1,N_clust,drop_singletons,report_constant,N,N_hdfe,N_full,rank,df_m,ic,converged,num_singletons,df_a,df_r,tss,tss_within,rss,mss,r2,r2_a,F,r2_a_within,rmse,ll,acq,fespec,_estimates_name,sample,properties,vcetype,vce,clustvar,clustvar1,title3,depvar,indepvars,model,title,title2,absvars,marginsnotok,predict,estat_cmd,cmdline,flinejl,cmdlinejl,cmd,_r_z__CL,_r_z_abs__CL
evreg1,177.1297356276607,-234710233.0245449,.0101037270787917,28263234,1,6542,6542,1,0,28263234,1,28263234,8,8,1,1,0,290052,6541,27032700249436.27,24321418910589.66,24075681931748.1,2957018317688.164,.1093867164731288,.1001517830899338,131.7943980224753,.0101034439800565,927.723216786518,-233073156.2637047,676,1,evreg1,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 1 HDFE group,i.unique_small_grid_id_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg2,177.1297356276607,-234710233.0245449,.0070617285438993,28263234,1,6542,6542,1,0,28263234,2,28263234,7,7,2,1,0,290736,6541,27032700249436.27,22921715100685.68,22759848170884.04,4272852078552.23,.1580623481607738,.1493113707533258,78.9291383158745,.0070614800652099,902.0261102312808,-232278897.997332,676,2,evreg2,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 2 HDFE groups,i.unique_small_grid_id_cohort i.monthyearco,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg3,177.1297356276607,-234710233.0245449,.0160238030791066,28263234,1,6542,6542,1,0,28263234,2,28263234,8,8,10,1,0,290080,6541,27032700249436.27,22877986155831.32,22511393810823.76,4521306438612.508,.1672532302320333,.1586174832123138,111.9315874931363,.0160235216731618,897.0786828786527,-232123784.2007661,676,3,evreg3,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 2 HDFE groups,i.unique_small_grid_id_cohort i.province_cohort#c.monthyearco,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#c.monthyear) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&( monthyearco )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg4,177.1297356276607,-234710233.0245449,.0102078670334543,28263234,1,6542,6542,1,0,28263234,2,28263234,8,8,6,1,0,290057,6541,27032700249436.27,24308500835231.45,24060362890922.79,2972337358513.477,.1099534020311368,.100724183976034,132.5829803885916,.0102075839644512,927.4281036461513,-233064161.6391627,676,4,evreg4,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 2 HDFE groups,i.unique_small_grid_id_cohort i.yeargov,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  yeargov) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( yeargov )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg5,177.1297356276607,-234710233.0245449,.0099178523988703,28263234,1,6542,6542,1,0,28263234,2,28263234,8,8,2,1,0,290118,6541,27032700249436.27,24277006274477.57,24036230509560.85,2996469739875.414,.1108461127533089,.1016241924884085,130.5936099194722,.0099175692463089,926.9638956017958,-233049980.6098959,676,5,evreg5,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 2 HDFE groups,i.unique_small_grid_id_cohort i.province_cohort#i.election_year,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#election_year) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&fe( election_year )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg6,177.1297356276607,-234710233.0245449,.0102681353527564,28263234,1,6542,6542,1,0,28263234,2,28263234,8,8,4,1,0,290305,6541,27032700249436.27,24148443734584.25,23900484245759.11,3132216003677.152,.1158676704426695,.1066918598486152,131.1821128166081,.0102678522984798,924.3457329079408,-232969945.1153199,676,6,evreg6,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 2 HDFE groups,i.unique_small_grid_id_cohort i.province_cohort#i.election_year#i.yeargov,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#election_year#yeargov) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&fe( election_year )&fe( yeargov )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg7,177.1297356276607,-234710233.0245449,.0045538677349846,28263234,1,6542,6542,1,0,28263234,3,28263234,7,7,14,1,0,290764,6541,27032700249436.27,21679841015769.73,21581113887268.42,5451586362167.848,.2016663637692477,.1933677927279056,80.66310504651703,.004553618628464,878.3580264957729,-231527387.6040776,676,7,evreg7,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.monthyearco i.province_cohort#c.monthyearco,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  province_cohort#c.monthyear) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( province_cohort )&( monthyearco )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg8,177.1297356276607,-234710233.0245449,.0070698064197725,28263234,1,6542,6542,1,0,28263234,3,28263234,7,7,12,1,0,290741,6541,27032700249436.27,22917644604076.61,22755621293128.64,4277078956307.625,.1582187098159689,.1494692055789433,79.1875091222695,.0070695579430602,901.9424264171728,-232276273.280135,676,8,evreg8,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.monthyearco i.yeargov,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  yeargov) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( yeargov )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg9,177.1297356276607,-234710233.0245449,.0070002626264568,28263234,1,6542,6542,1,0,28263234,3,28263234,7,7,27,1,0,290802,6541,27032700249436.27,22880322860171.68,22720154591172.36,4312545658263.906,.1595307023890016,.150792983170891,79.09766956452337,.0070000141317994,901.2402554192212,-232254230.6897593,676,9,evreg9,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.monthyearco i.province_cohort#i.election_year,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  province_cohort#election_year) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( province_cohort )&fe( election_year )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
evreg10,177.1297356276607,-234710233.0245449,.0067026844996122,28263234,1,6542,6542,1,0,28263234,3,28263234,7,7,114,1,0,290989,6541,27032700249436.27,22692598607094.84,22540497278155.14,4492202971281.121,.1661766279295314,.1575023691106395,79.59606653820838,.0067024359288255,897.6729511459895,-232142042.2183973,676,10,evreg10,Rural,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,1.post_##1.treat##1.downup_ac wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.monthyearco i.province_cohort#i.election_year#i.yeargov,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk 1.post_##1.treat##1.downup_ac wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  province_cohort#election_year#yeargov) vce(cluster ac_elec_yr)",f = @formula(countk ~ __000005 + __000006 + __000007 + __000008 + __000009 + __00000A + __00000B + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( province_cohort )&fe( election_year )&fe( yeargov ),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}())",reghdfejl,t,|t|
