reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41
evreg1,1bn.relative_year_bin_aux,587.2227002435073,112.4798886164195,10667.09359090846,8365.489529048071,5346.898546751139,2667.059011109996,-2956.890119778035,-5992.385593868504,-8444.920407803524,-10922.6667057166,-13372.77459174977,0,-2.619525466928573,612.2535127946953,-996.2915926663355,-1041.332474070204,-442.2742445699266,-210.2723490025488,-879.7356659232834,-257.3517362652581,-279.790013393039,-200.7232371647611,-146.9314755304832,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux,444.6171629804588,112.4798886164195,8365.489529048071,6634.08688799479,4230.844500562924,2115.353484683547,-2322.583733342473,-4731.916368804928,-6650.503075209392,-8605.006540875074,-10536.79404927662,0,-2.061672363237659,481.3891044690026,-754.7728061434588,-867.1177783465043,-368.4466648193966,-181.1439188269941,-713.8927983213551,-207.0147324643609,-237.7384740169267,-175.2750081956368,-132.1858286735655,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux,303.0431983272882,112.4798886164195,5346.898546751139,4230.844500562924,2739.048057206463,1359.391064520109,-1499.035025631795,-3037.904394571366,-4289.973178326259,-5553.044062720621,-6794.621495178663,0,-1.325578997146494,312.0124839158416,-468.8965141469229,-531.4843260485579,-259.0553149994067,-116.8437664841269,-460.7815330411264,-144.8893341798865,-149.1303766402152,-103.1297911972099,-76.33169517482607,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux,133.5467058972138,112.4798886164195,2667.059011109996,2115.353484683547,1359.391064520109,690.1793151579501,-734.4629101217744,-1498.416338515346,-2124.188456710715,-2753.515884074741,-3371.476655262843,0,-.6273751203752749,151.3227725268198,-235.245911454944,-271.3385268414846,-123.4471733944682,-70.77189899374412,-231.6662626179585,-77.37214990497941,-78.57861366444416,-55.80798341993344,-43.80910399299072,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux,-155.3960345116785,112.4798886164195,-2956.890119778035,-2322.583733342473,-1499.035025631795,-734.4629101217744,874.0542584129888,1727.879786532347,2433.664884715606,3137.913037159815,3829.735318636807,0,.7149692985058967,-172.6069686325626,257.8680215618285,274.675141155668,127.5093883745837,47.66604478481756,252.2061899671175,78.44075029349479,65.34853880780172,38.75002018666149,21.1211067233465,,,,,,,,,,,,,,,,,,,,
evreg1,7.relative_year_bin_aux,-303.4694684506868,112.4798886164195,-5992.385593868504,-4731.916368804928,-3037.904394571366,-1498.416338515346,1727.879786532347,3499.946077823266,4895.333551391774,6296.586739920225,7700.911475500024,0,1.407477845841614,-344.4972929826727,525.1025505794798,585.2594662663406,261.3044840541385,107.9161221856085,528.9902083255719,131.5615938060917,139.6657318612669,106.474878963445,64.92636135578279,,,,,,,,,,,,,,,,,,,,
evreg1,8.relative_year_bin_aux,-370.1515790988936,112.4798886164195,-8444.920407803524,-6650.503075209392,-4289.973178326259,-2124.188456710715,2433.664884715606,4895.333551391774,6984.844179073664,8948.07673458007,10936.16359521217,0,1.854264116353491,-472.3748495608912,707.295599910242,777.8350490262089,353.449158141903,150.8243294737286,735.32520319121,226.247253356043,138.9859346440759,118.1353687005883,68.83519699206366,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux,-505.7532529627777,112.4798886164195,-10922.6667057166,-8605.006540875074,-5553.044062720621,-2753.515884074741,3137.913037159815,6296.586739920225,8948.07673458007,11564.81618970814,14118.47908449777,0,2.486787519713264,-617.2701549827791,915.4135106638037,1008.278093654538,459.9106848075309,200.0852822658568,935.0669921363497,299.2958896951872,241.4783541408958,136.0801321393543,89.03028921009597,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux,-592.3056682799636,112.4798886164195,-13372.77459174977,-10536.79404927662,-6794.621495178663,-3371.476655262843,3829.735318636807,7700.911475500024,10936.16359521217,14118.47908449777,17274.17014022225,0,3.017704647934352,-754.8388150602702,1119.830112276463,1235.764171368342,558.6945492979124,244.6826763566646,1141.171450963918,357.2966819476893,299.7070581795754,189.5807979868174,102.1557130767784,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
