reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25
evreg1,1bno.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,2o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,3o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,5o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,6o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,1o.treat,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,wind_direction,-.8699190482268667,473.1087377897488,0,0,0,0,0,0,.0049858783395865,-.4340047063655202,-.2891940600962098,-.1486437427313291,-.0914425135105105,.1093821117783825,.2172332270574924,,,,,,,,,,,,
evreg1,av_wind_speed,128.0267881279401,473.1087377897488,0,0,0,0,0,0,-.4340047063655202,171.7545974149457,48.28773993235809,38.79385811009178,26.26573923951478,-16.70867251424982,-21.37244470321658,,,,,,,,,,,,
evreg1,1bn.relative_year_bin_aux#1.treat,-39.52911745179475,473.1087377897488,0,0,0,0,0,0,-.2891940600962098,48.28773993235809,319.6914418472739,124.0256304290492,85.72861934309707,-119.0412571131263,-318.1617019598205,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,-5.049641966237573,473.1087377897488,0,0,0,0,0,0,-.1486437427313291,38.79385811009178,124.0256304290492,153.2659652056674,89.33944239206325,-16.32170734491555,-2.935115987558838,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,-20.13254019631893,473.1087377897488,0,0,0,0,0,0,-.0914425135105105,26.26573923951478,85.72861934309707,89.33944239206325,124.4628628973736,-20.63039495312445,52.74939918832212,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux#1.treat,57.18815682972063,473.1087377897488,0,0,0,0,0,0,.1093821117783825,-16.70867251424982,-119.0412571131263,-16.32170734491555,-20.63039495312445,163.9464442553445,319.0786934681588,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux#1.treat,201.3524978861433,473.1087377897488,0,0,0,0,0,0,.2172332270574924,-21.37244470321658,-318.1617019598205,-2.935115987558838,52.74939918832212,319.0786934681588,1232.885114857885,,,,,,,,,,,,
evreg2,1bno.relative_year_bin_aux,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,5o.relative_year_bin_aux,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,6o.relative_year_bin_aux,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.rice_prod_aclvl_ahigh,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,wind_direction,-.869624301856129,40.07148146955598,0,0,0,0,0,0,0,.0049948754543116,-.4375506882910996,-.0307997929300391,-.0051873703721992,.0002037984198193,-.008276779574481,-.0196686802941725,-.0434594890410694,-.0841483460262041,.1155308822330966,-.1249808456198829,-.1829065910645388,0,-.3064587834580186,-.1397317325523301,-.1570898393321229,.1941334098441079,.3741270524208649
evreg2,av_wind_speed,128.2581447942567,40.07148146955598,0,0,0,0,0,0,0,-.4375506882910996,172.26296583472,10.70082770193436,6.087221045120771,9.426364600153001,-6.869140177581272,3.438394459991727,-7.07796179250012,-5.917658602822158,-16.96910446870071,13.26453771253132,43.55977178227821,0,43.70171793079902,37.7358688555959,25.7677674485471,-15.59625359499017,-46.51028262497368
evreg2,1bn.relative_year_bin_aux#1.treat,10.49616303635472,40.07148146955598,0,0,0,0,0,0,0,-.0307997929300391,10.70082770193436,108.9886062069498,48.59647928736432,15.22726987169949,6.083720901596698,1.94300956888052,5.350558007524903,6.354987483272681,2.450164472835555,-.4722674671232866,3.931406822270547,0,-95.2725725114494,-39.02492678199866,-7.084634684061944,-11.75656849216639,-9.467445605725775
evreg2,2.relative_year_bin_aux#1.treat,-2.958608124806723,40.07148146955598,0,0,0,0,0,0,0,-.0051873703721992,6.087221045120771,48.59647928736432,41.49231503015194,16.88664928356469,9.98783486019336,12.59942312940921,5.199699166433324,6.645148391447818,4.244264203079988,-1.893409715914849,1.630647438634933,0,-41.06300728814605,-35.8434606557128,-12.02031511675636,-12.88170563876557,-16.26519189943557
evreg2,3.relative_year_bin_aux#1.treat,-2.430778754692042,40.07148146955598,0,0,0,0,0,0,0,.0002037984198193,9.426364600153001,15.22726987169949,16.88664928356469,27.54734444127732,-2.091213379677168,6.322893831120706,4.723388399108346,5.949634677734321,6.833719400644999,-4.871621160444097,-.6310204025627478,0,-12.97465543974462,-14.94426252638503,-25.08304021244968,-.0673925252889905,-6.856779085081852
evreg2,5.relative_year_bin_aux#1.treat,-13.75268829035764,40.07148146955598,0,0,0,0,0,0,0,-.008276779574481,-6.869140177581272,6.083720901596698,9.98783486019336,-2.091213379677168,44.19618507964193,22.22764349471489,-3.155580533675226,-3.291144723073539,-6.090096278616621,3.680364665497607,1.885221733135114,0,.5306861078385194,-4.784428682203684,6.881384441542856,-40.84019565667581,-20.83996760043191
evreg2,6.relative_year_bin_aux#1.treat,3.205169673286179,40.07148146955598,0,0,0,0,0,0,0,-.0196686802941725,3.438394459991727,1.94300956888052,12.59942312940921,6.322893831120706,22.22764349471489,78.25021315120568,-4.421671620810183,-2.622785883284,-4.352465508077572,6.44218138124947,12.41200412587998,0,2.650441316021627,-5.672079435167543,1.637901260764236,-23.22604843948381,-67.40440992417768
evreg2,1bn.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,30.15056384201159,40.07148146955598,0,0,0,0,0,0,0,-.0434594890410694,-7.07796179250012,5.350558007524903,5.199699166433324,4.723388399108346,-3.155580533675226,-4.421671620810183,41.78074423903558,34.43769490099042,19.05358292065478,-1.671103845507759,-11.53535366275418,0,.9301311133424583,-12.00579452999613,-8.679087794257942,-14.93222719483137,-23.46211531195048
