reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25
evreg1,1bno.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,2o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,3o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,5o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,6o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,1o.treat,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evreg1,wind_direction,-.8743118729255056,473.1087377897488,0,0,0,0,0,0,.0004257460973585,-.0340602727664932,-.0086568381525844,-.0011091373078706,.0040782678093857,.0000223652576976,-.0086958496014843,,,,,,,,,,,,
evreg1,av_wind_speed,126.5665048725775,473.1087377897488,0,0,0,0,0,0,-.0340602727664932,14.31482179051353,-1.407977367244154,1.88392631497191,-.259715715621034,3.090141826936314,6.711548914816067,,,,,,,,,,,,
evreg1,1bn.relative_year_bin_aux#1.treat,-39.5316780254627,473.1087377897488,0,0,0,0,0,0,-.0086568381525844,-1.407977367244154,186.0313113319627,24.46752508134412,35.22230826518131,-56.76034250459504,-161.3338190378276,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,-4.846052896721687,473.1087377897488,0,0,0,0,0,0,-.0011091373078706,1.88392631497191,24.46752508134412,105.8219655275494,65.92251672424855,20.93740747874051,91.41271650942042,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,-20.00252043638075,473.1087377897488,0,0,0,0,0,0,.0040782678093857,-.259715715621034,35.22230826518131,65.92251672424855,123.0594856179566,5.15407678962901,148.8646909192497,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux#1.treat,56.74232008638916,473.1087377897488,0,0,0,0,0,0,.0000223652576976,3.090141826936314,-56.76034250459504,20.93740747874051,5.15407678962901,112.4987862175371,198.7610765337083,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux#1.treat,200.6917021228034,473.1087377897488,0,0,0,0,0,0,-.0086958496014843,6.711548914816067,-161.3338190378276,91.41271650942042,148.8646909192497,198.7610765337083,1135.865699543613,,,,,,,,,,,,
evreg2,1bno.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,5o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,6o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1.downup_ac_pop,3.934700996476157,473.1087377897488,0,0,0,0,0,0,1.278935606509478,-.0032909232569527,.1777392475802007,-.1351842474573959,.5329752248607669,-.3915833389763739,.1317784313099474,-.5788864931768989,-.3165940679856136,-.4283883453390778,-.5307190125689503,-.3474485896600616,-.8203130866235664,-4.499419477168713,.2018251674787203,.0889358126969733,.6907305474694294,-.1263410642925307,.6533318478489796
evreg2,wind_direction,-.8743538722854363,473.1087377897488,0,0,0,0,0,0,-.0032909232569527,.0004257531891919,-.0340496268392607,-.0011559096897908,-.0001724592243651,.0081537715164697,-.0002762756155532,-.0015457114552036,.0002591782635349,.0006292670748984,.0007740508708256,-.0013307642796792,-.0000830233681483,.0373529256818758,-.015147997129988,-.0018009469290156,-.008131657354534,.0007400604723199,-.0143518990870885
evreg2,av_wind_speed,126.5499154496866,473.1087377897488,0,0,0,0,0,0,.1777392475802007,-.0340496268392607,14.31313126542179,-2.02265367850384,1.443001087692999,-1.162534219106576,2.994238051322332,4.164773247164177,-.1091169830393004,-.1795820658231061,-.1676472588705346,.0163331023422671,-.230568010589866,-3.661681037810412,1.202884612990583,.857530504616833,1.812498431280407,.1817585635372912,5.14342820218496
evreg2,1bn.relative_year_bin_aux#1.treat,-40.9814401161975,473.1087377897488,0,0,0,0,0,0,-.1351842474573959,-.0011559096897908,-2.02265367850384,284.9895396789207,55.22018991998557,27.73850224307218,-74.8106179658688,-216.0392940920592,.9397954975863076,.1537749396295957,-.1867206890556888,.0921981819416069,-.4936649370413449,84.19626396188168,-211.0060419566692,-66.59988802291893,-.2257074175862458,29.61384287459209,93.90250342132252
evreg2,2.relative_year_bin_aux#1.treat,-17.63541415632741,473.1087377897488,0,0,0,0,0,0,.5329752248607669,-.0001724592243651,1.443001087692999,55.22018991998557,160.1271674234519,106.3528686485152,39.44723998961135,124.2363983254264,.3097176604919207,.0526709544362863,-.0595843089243276,.3385226598215216,1.376362518481726,65.38363008555851,-43.04385945332672,-126.6678561669357,-74.7642022116253,-48.9333795304497,-88.51062163296869
evreg2,3.relative_year_bin_aux#1.treat,-20.63257694913361,473.1087377897488,0,0,0,0,0,0,-.3915833389763739,.0081537715164697,-1.162534219106576,27.73850224307218,106.3528686485152,226.4289059505633,56.75841633094375,316.612892981847,.0259834601259715,.3556922041265483,.9421640320473488,.9991200918860994,3.287221042514103,90.56526219691462,1.665102217730852,-78.87910028448344,-188.5502149504197,-93.6287674146449,-295.7771680432395
evreg2,5.relative_year_bin_aux#1.treat,51.86578347569795,473.1087377897488,0,0,0,0,0,0,.1317784313099474,-.0002762756155532,2.994238051322332,-74.8106179658688,39.44723998961135,56.75841633094375,169.8758989962606,270.5474077940106,-.2863963584832717,-.0184151640902863,.3730443889903333,.9813331196831862,.8946602738453301,19.82406838520108,36.93485999340795,-33.04041179300027,-84.56853991851442,-118.9911160285336,-164.1693063014299
evreg2,6.relative_year_bin_aux#1.treat,183.4928770951315,473.1087377897488,0,0,0,0,0,0,-.5788864931768989,-.0015457114552036,4.164773247164177,-216.0392940920592,124.2363983254264,316.612892981847,270.5474077940106,1506.066741953964,-.7462589901313033,.7197177552269903,1.874977808976178,1.387013583362779,5.748408396265797,219.8206466606035,140.1946325062186,-70.43496650273704,-293.6037279101714,-168.4513430563894,-855.6398868260708
