reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bno.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,5o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,6o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,439.5555615837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-.6239169728882925,439.5555615837712,0,0,0,0,0,0,0,0,0,0,.0000883617154226,-.0086190731032696,-.0000495197866971,.0002860593976055,.0030664399474657,-.0004276427958089,.0064812912287243,.0037108039496025,.0040332112254519,-.0021608178382397,-.0062668436226292
evreg1,av_wind_speed,96.95595451846032,439.5555615837712,0,0,0,0,0,0,0,0,0,0,-.0086190731032696,3.171809147705712,.9250219749711635,.9398973960191919,.8137649085121477,.7392775844428869,.000084442329883,.0500422015794456,-.0959685508421515,1.536547817419138,3.545365857002207
evreg1,1bn.relative_year_bin_aux#1.treat,18.58770791627028,439.5555615837712,0,0,0,0,0,0,0,0,0,0,-.0000495197866971,.9250219749711635,116.8747963923637,82.69307842496045,96.14057699574319,81.92365214812116,52.71686632774966,56.16191297510239,59.8203096601402,51.9573829736974,157.0883601810052
evreg1,2.relative_year_bin_aux#1.treat,10.52606254601099,439.5555615837712,0,0,0,0,0,0,0,0,0,0,.0002860593976055,.9398973960191919,82.69307842496045,120.6136032831732,87.14765029041358,105.2283408921173,21.04910834784196,56.13177695581367,59.18828171562416,51.71787383269914,158.4742887995754
evreg1,3.relative_year_bin_aux#1.treat,8.429037643121905,439.5555615837712,0,0,0,0,0,0,0,0,0,0,.0030664399474657,.8137649085121477,96.14057699574319,87.14765029041358,113.6201202959793,76.76669562378868,58.43838625587267,56.95342605168207,60.89559599909222,52.62721514838444,156.1325219130987
evreg1,4.relative_year_bin_aux#1.treat,39.95699819553623,439.5555615837712,0,0,0,0,0,0,0,0,0,0,-.0004276427958089,.7392775844428869,81.92365214812116,105.2283408921173,76.76669562378868,167.7988389387332,27.91812242827571,62.6645223925263,73.36600642255505,39.94273431599955,166.5077738694611
evreg1,5.relative_year_bin_aux#1.treat,19.99783810917268,439.5555615837712,0,0,0,0,0,0,0,0,0,0,.0064812912287243,.000084442329883,52.71686632774966,21.04910834784196,58.43838625587267,27.91812242827571,204.0969961189707,35.82410314767051,41.36004307091608,-1.560538025247447,1.187209708214249
evreg1,6.relative_year_bin_aux#1.treat,-28.31104909264828,439.5555615837712,0,0,0,0,0,0,0,0,0,0,.0037108039496025,.0500422015794456,56.16191297510239,56.13177695581367,56.95342605168207,62.6645223925263,35.82410314767051,69.04405649689804,54.33622541927222,31.22454874770326,90.26560704989657
evreg1,7.relative_year_bin_aux#1.treat,-19.01614140098861,439.5555615837712,0,0,0,0,0,0,0,0,0,0,.0040332112254519,-.0959685508421515,59.8203096601402,59.18828171562416,60.89559599909222,73.36600642255505,41.36004307091608,54.33622541927222,95.57542314215502,25.37928337915422,135.2033879459831
evreg1,9.relative_year_bin_aux#1.treat,55.53876897352693,439.5555615837712,0,0,0,0,0,0,0,0,0,0,-.0021608178382397,1.536547817419138,51.9573829736974,51.71787383269914,52.62721514838444,39.94273431599955,-1.560538025247447,31.22454874770326,25.37928337915422,96.9741702085669,139.8231054332742
evreg1,10.relative_year_bin_aux#1.treat,48.65226897380433,439.5555615837712,0,0,0,0,0,0,0,0,0,0,-.0062668436226292,3.545365857002207,157.0883601810052,158.4742887995754,156.1325219130987,166.5077738694611,1.187209708214249,90.26560704989657,135.2033879459831,139.8231054332742,681.715454949706
