cohort_id,relative_year,treat,n_t,n_c,N_t,N_c,stack_weight
1,-3,0,10624,10474,511804,694786,1.37696491774041
1,-3,1,10624,10474,511804,694786,1
1,-2,0,63744,62844,564924,747156,1.34151877555072
1,-2,1,63744,62844,564924,747156,1
1,-1,0,63744,62844,564924,747156,1.34151877555072
1,-1,1,63744,62844,564924,747156,1
1,0,0,63744,62844,564924,1079544,1.93832150853787
1,0,1,63744,62844,564924,1079544,1
1,1,0,63744,62844,564924,1079544,1.93832150853787
1,1,1,63744,62844,564924,1079544,1
1,2,0,63744,62844,531114,995583,1.90136377427532
1,2,1,63744,62844,531114,995583,1
1,3,0,63744,62844,429684,743700,1.75559401507645
1,3,1,63744,62844,429684,743700,1
1,4,0,63744,62844,388885,631181,1.64629711699883
1,4,1,63744,62844,388885,631181,1
2,-4,0,32007,33105,405159,584997,1.39598105992529
2,-4,1,32007,33105,405159,584997,1
2,-3,0,128028,132420,511804,694786,1.31249833345348
2,-3,1,128028,132420,511804,694786,1
2,-2,0,128028,132420,564924,747156,1.27871170464984
2,-2,1,128028,132420,564924,747156,1
2,-1,0,128028,132420,564924,747156,1.27871170464984
2,-1,1,128028,132420,564924,747156,1
2,0,0,128028,132420,564924,1079544,1.84757339629811
2,0,1,128028,132420,564924,1079544,1
2,1,0,128028,132420,564924,1079544,1.84757339629811
2,1,1,128028,132420,564924,1079544,1
2,2,0,128028,132420,531114,995583,1.81234594496448
2,2,1,128028,132420,531114,995583,1
2,3,0,128028,132420,429684,743700,1.673400817495
2,3,1,128028,132420,429684,743700,1
2,4,0,128028,132420,388885,631181,1.56922096895252
2,4,1,128028,132420,388885,631181,1
3,-5,0,11522,35588,301922,467852,0.50169297481291
3,-5,1,11522,35588,301922,467852,1
3,-4,0,19752,61008,405159,584997,0.467468592319932
3,-4,1,19752,61008,405159,584997,1
3,-3,0,19752,61008,511804,694786,0.439512946110167
3,-3,1,19752,61008,511804,694786,1
3,-2,0,19752,61008,564924,747156,0.428198904494933
3,-2,1,19752,61008,564924,747156,1
3,-1,0,19752,61008,564924,747156,0.428198904494933
3,-1,1,19752,61008,564924,747156,1
3,0,0,19752,72792,564924,1079544,0.51853460802875
3,0,1,19752,72792,564924,1079544,1
3,1,0,19752,72792,564924,1079544,0.51853460802875
3,1,1,19752,72792,564924,1079544,1
3,2,0,19752,72792,531114,995583,0.508647773380809
3,2,1,19752,72792,531114,995583,1
3,3,0,19752,72792,429684,743700,0.469651835598716
3,3,1,19752,72792,429684,743700,1
3,4,0,19752,72792,388885,631181,0.440413020493071
3,4,1,19752,72792,388885,631181,1
4,-5,0,88200,82068,301922,467852,1.66536129156895
4,-5,1,88200,82068,301922,467852,1
4,-4,0,151200,140688,405159,584997,1.55175403634894
4,-4,1,151200,140688,405159,584997,1
4,-3,0,151200,140688,511804,694786,1.45895574453331
4,-3,1,151200,140688,511804,694786,1
4,-2,0,151200,140688,564924,747156,1.42139897594544
4,-2,1,151200,140688,564924,747156,1
