group,estimate,se,lower95,upper95,lower90,upper90,p_value,specification,label
Pre,1.90055808110556,3.28894648322595,-4.54565919233704,8.34677535454816,-3.50927786843131,7.31039403064242,0.563357120382361,original,Original stacked FE
Control post,0.641071205138181,3.97034729217839,-7.14066724118124,8.4228096514576,-5.88956941881795,7.17171182909431,0.871727360729256,original,Original stacked FE
Treated post,9.30346092556186,9.53156771858887,-9.37807031367248,27.9849921647962,-6.37457395960619,24.9814958107299,0.329030646915019,original,Original stacked FE
Difference,8.66238972042368,10.1408816286883,-11.213374952606,28.5381543934534,-8.01787743341169,25.3426568742591,0.392991542673783,original,Original stacked FE
Pre,3.51559650913855,2.61549069214495,-1.61067154180772,8.64186456008483,-0.786503158401971,7.81769617667908,0.178901802397593,fe01,FE 01
Control post,2.60994241834039,2.83501927160106,-2.94659378324976,8.16647861993053,-2.05324965588702,7.27313449256779,0.357254957950286,fe01,FE 01
Treated post,8.09593379767689,5.67230568422016,-3.02158212067347,19.2134497160272,-1.23417946617843,17.4260470615322,0.153500988389587,fe01,FE 01
Difference,5.4859913793365,6.18908129528186,-6.64438622208156,17.6163689807546,-4.69414218519071,15.6661249438637,0.375402930938477,fe01,FE 01
Pre,3.71323064130722,2.60505858617484,-1.39259085569053,8.81905213830497,-0.571709737629964,7.99817102024441,0.154043836147084,fe05,FE 05
Control post,2.44696292145149,2.83644135077718,-3.11236050437472,8.0062863472777,-2.21856826503852,7.11249410794151,0.388309241162748,fe05,FE 05
Treated post,7.14671879472886,5.31939818432989,-3.27911106751728,17.572548656975,-1.60291324527414,15.8963508347319,0.179103621023925,fe05,FE 05
Difference,4.69975587327737,5.87888238196115,-6.82264297158455,16.2221547181393,-4.97014584608346,14.3696575926382,0.424041044135508,fe05,FE 05
