term,Estimate,Std. Error,t value,Pr(>|t|),specification,label,event_time,ci_lower,ci_upper
relative_year::-5:treat,3.57822618946222,5.24328488385879,0.682439781305346,0.495085950004667,fe01,FE 01,-5,-6.69861218290102,13.8550645618255
relative_year::-4:treat,-10.6254702546421,4.6341503012232,-2.29286267470382,0.0220195141430288,fe01,FE 01,-4,-19.7084048450396,-1.54253566424465
relative_year::-3:treat,4.98761039887932,5.37730178686071,0.927530311031903,0.353828334159976,fe01,FE 01,-3,-5.55190110336767,15.5271219011263
relative_year::-2:treat,-5.55286371868237,4.96108625058405,-1.11928384998924,0.263231712099049,fe01,FE 01,-2,-15.2765927698271,4.17086533246236
relative_year::0:treat,2.36848140131373,4.72743543017728,0.501007668173463,0.616452958794659,fe01,FE 01,0,-6.89729204183374,11.6342548444612
relative_year::1:treat,-4.66863515512342,4.66135659355404,-1.00156146851744,0.316747131746216,fe01,FE 01,1,-13.8048940784893,4.46762376824249
relative_year::2:treat,12.2996529647521,6.16445671223754,1.99525335952722,0.0462296114396775,fe01,FE 01,2,0.2173178087665,24.3819881207377
relative_year::3:treat,6.12731484249051,5.34012873529053,1.14740957497856,0.251429513881829,fe01,FE 01,3,-4.33933747867893,16.5939671636599
relative_year::4:treat,8.35314217702216,5.84099716956478,1.43008837952314,0.152938785513517,fe01,FE 01,4,-3.09521227532481,19.8014966293691
relative_year::-5:treat,3.04261621247303,5.28196292152447,0.57603891918175,0.564691421768381,fe05,FE 05,-5,-7.31003111371492,13.395263538661
relative_year::-4:treat,-11.2029017021788,4.76278387934678,-2.35217511144244,0.0188166920765424,fe05,FE 05,-4,-20.5379581056985,-1.8678452986591
relative_year::-3:treat,4.92505879035426,5.53547717535521,0.889726149044816,0.373782250057324,fe05,FE 05,-3,-5.92447647334194,15.7745940540505
relative_year::-2:treat,-5.55098996125697,4.96140007312692,-1.11883538506067,0.263422948234819,fe05,FE 05,-2,-15.2753341045857,4.17335418207178
relative_year::0:treat,3.93918877027439,4.56213733905094,0.863452473592971,0.388052546446442,fe05,FE 05,0,-5.00260041426545,12.8809779548142
relative_year::1:treat,-3.09542650322145,4.57934887360411,-0.675953413609486,0.499193875850095,fe05,FE 05,1,-12.0709502954855,5.8800972890426
relative_year::2:treat,13.8343467723046,5.88844752615634,2.3494047812862,0.0189566677672232,fe05,FE 05,2,2.29298962103818,25.375703923571
relative_year::3:treat,7.53286014924235,5.95585440796759,1.2647824532388,0.206182460136248,fe05,FE 05,3,-4.14061449037412,19.2063347888588
relative_year::4:treat,10.8435704214376,6.25497749135088,1.73359063824476,0.0832345903291845,fe05,FE 05,4,-1.41618546161012,23.1033263044853
relative_year::-5:treat,-4.5153675451345,9.66825599168436,-0.467030201622522,0.640558762141701,original,Original stacked FE,-5,-23.4651492888358,14.4344141985668
relative_year::-4:treat,-3.79964183770686,7.21667950204193,-0.526508325142023,0.598627443443012,original,Original stacked FE,-4,-17.9443336617091,10.3450499862953
relative_year::-3:treat,-3.20414265811701,6.03683746382586,-0.530765102972704,0.595674804466329,original,Original stacked FE,-3,-15.0363440872157,8.62805877098169
relative_year::-2:treat,1.48488507113442,5.76010901369169,0.257787668185597,0.796612744824149,original,Original stacked FE,-2,-9.80492859570129,12.7746987379701
relative_year::0:treat,5.5060394027772,7.04973898980724,0.781027412608895,0.434932621703497,original,Original stacked FE,0,-8.311449017245,19.3235278227994
relative_year::1:treat,7.25261934021583,7.01796208680662,1.03343666587347,0.301597276808807,original,Original stacked FE,1,-6.50258634992516,21.0078250303568
relative_year::2:treat,8.34999809699054,8.6238027934923,0.968250120850586,0.33310469525495,original,Original stacked FE,2,-8.55265537825436,25.2526515722354
relative_year::3:treat,7.01810483204016,9.78222678319768,0.71743428031077,0.473238733323002,original,Original stacked FE,3,-12.1550596630273,26.1912693271076
relative_year::4:treat,3.84811068380161,10.0359723933195,0.383431772526908,0.701464128125113,original,Original stacked FE,4,-15.8223952071046,23.5186165747078
