reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bno.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,6o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,8o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-.4680393315689931,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.0010228018306615,-.3280633374812702,.0141786841003893,.018641900063875,-.022847405587133,-.0019501544204054,-.0064397131561968,-.0421382677645913,-.0163161520746374,-.0267959532467752,.0009909468767021
evreg1,av_wind_speed,338.1937945806673,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.3280633374812702,371.1560846546183,-50.23989244246527,-71.66452026601004,-2.679753129962718,-3.7715668607418,-32.7795037652699,12.61776193570505,-7.471778316340486,2.037501727795164,-23.03068560753283
evreg1,1bn.relative_year_bin_aux#1.treat,-23.40061566568425,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.0141786841003893,-50.23989244246527,117.0758596022198,64.43082873669,47.41810514546313,16.6047574333377,35.19751688020605,16.87633657578736,24.80992811464088,19.99709966114872,20.75060695442741
evreg1,2.relative_year_bin_aux#1.treat,-27.22963282468706,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.018641900063875,-71.66452026601004,64.43082873669,152.1395205047089,52.09539479766563,46.77687248410332,66.8725717724617,22.13396012889127,46.67029302598181,43.12613257246846,42.32717500285856
evreg1,3.relative_year_bin_aux#1.treat,14.79986797057931,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.022847405587133,-2.679753129962718,47.41810514546313,52.09539479766563,68.57784871279348,34.24687461120331,33.519019103611,28.45659995080069,29.62018251272914,26.33857165220788,27.6706610622379
evreg1,4.relative_year_bin_aux#1.treat,7.954703000705331,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0019501544204054,-3.7715668607418,16.6047574333377,46.77687248410332,34.24687461120331,53.4696837411917,31.44100616838952,23.85798200875298,29.18592102348037,22.88554770269338,25.55374223089074
evreg1,6.relative_year_bin_aux#1.treat,.1729040832372366,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0064397131561968,-32.7795037652699,35.19751688020605,66.8725717724617,33.519019103611,31.44100616838952,73.67943023955762,27.99652503801243,45.06685943414112,25.35999524408334,29.94470194898538
evreg1,7.relative_year_bin_aux#1.treat,26.65769559003181,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0421382677645913,12.61776193570505,16.87633657578736,22.13396012889127,28.45659995080069,23.85798200875298,27.99652503801243,57.42708525542363,25.17836121708481,22.5234266615722,29.48701249607023
evreg1,8.relative_year_bin_aux#1.treat,16.48950795650044,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0163161520746374,-7.471778316340486,24.80992811464088,46.67029302598181,29.62018251272914,29.18592102348037,45.06685943414112,25.17836121708481,84.45402561482456,33.0598968857704,26.70823581315718
evreg1,9.relative_year_bin_aux#1.treat,14.93592782243243,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0267959532467752,2.037501727795164,19.99709966114872,43.12613257246846,26.33857165220788,22.88554770269338,25.35999524408334,22.5234266615722,33.0598968857704,93.85090296338358,58.78849239454082
evreg1,10.relative_year_bin_aux#1.treat,-16.55845380364597,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.0009909468767021,-23.03068560753283,20.75060695442741,42.32717500285856,27.6706610622379,25.55374223089074,29.94470194898538,29.48701249607023,26.70823581315718,58.78849239454082,92.02108792702541
