reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bno.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,6o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,8o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,112.4798886164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-.2518559416896914,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.0005943807487891,-.1784939519315887,.0051810952966495,.035093379504843,-.00152758992622,.0104343684740945,.0048262070804856,-.0501013516946981,-.0014033213544501,-.0443289970444982,-.0159021128112972
evreg1,av_wind_speed,171.2978811294641,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.1784939519315887,246.3255555034874,-33.49879557218221,-46.30476827174142,-5.334766832239522,3.553178113938867,-10.38004956120435,35.53812984696221,14.94433175226527,21.21189969843216,3.276333038106064
evreg1,1bn.relative_year_bin_aux#1.treat,-3.771091658891232,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.0051810952966495,-33.49879557218221,194.4506274975407,106.732797829287,94.18560913483967,20.99580221289428,46.97778903334621,26.30013083904575,30.24787875510091,16.84365186113772,20.09958647355066
evreg1,2.relative_year_bin_aux#1.treat,-19.88479554977179,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.035093379504843,-46.30476827174142,106.732797829287,151.2852155345571,89.28394934839915,42.0147767657866,76.94444930402211,51.60176108817497,57.45788301136289,46.62673108347489,44.96722320882699
evreg1,3.relative_year_bin_aux#1.treat,10.00198065177718,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.00152758992622,-5.334766832239522,94.18560913483967,89.28394934839915,125.2771148161871,46.23732094227955,63.17736090607261,60.31239895282273,58.96276629593213,43.34387906781622,42.71332082147089
evreg1,4.relative_year_bin_aux#1.treat,3.676328552132924,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.0104343684740945,3.553178113938867,20.99580221289428,42.0147767657866,46.23732094227955,57.58421777104651,41.35576598300312,44.04754379060073,35.67585031188955,37.23293580771946,35.17910607489264
evreg1,6.relative_year_bin_aux#1.treat,5.746359206615603,112.4798886164195,0,0,0,0,0,0,0,0,0,0,.0048262070804856,-10.38004956120435,46.97778903334621,76.94444930402211,63.17736090607261,41.35576598300312,130.7349956009149,101.5925939914438,101.0489766989877,76.70290954471123,75.83587665224027
evreg1,7.relative_year_bin_aux#1.treat,34.6705367429324,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0501013516946981,35.53812984696221,26.30013083904575,51.60176108817497,60.31239895282273,44.04754379060073,101.5925939914438,138.1444704185669,97.66242093135672,85.54903997842608,76.39907508491503
evreg1,8.relative_year_bin_aux#1.treat,20.01954573248853,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0014033213544501,14.94433175226527,30.24787875510091,57.45788301136289,58.96276629593213,35.67585031188955,101.0489766989877,97.66242093135672,152.9009566210379,88.26094038729983,78.92249438240233
evreg1,9.relative_year_bin_aux#1.treat,30.97136295543602,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0443289970444982,21.21189969843216,16.84365186113772,46.62673108347489,43.34387906781622,37.23293580771946,76.70290954471123,85.54903997842608,88.26094038729983,143.6116953521412,115.7322206663051
evreg1,10.relative_year_bin_aux#1.treat,24.70190780494479,112.4798886164195,0,0,0,0,0,0,0,0,0,0,-.0159021128112972,3.276333038106064,20.09958647355066,44.96722320882699,42.71332082147089,35.17910607489264,75.83587665224027,76.39907508491503,78.92249438240233,115.7322206663051,138.0379479539843
