cohort_id,cohort,cohort_election_year,cohort_term_start,cohort_analysis_max,provinces_all,provinces_treated,provinces_control,row_election_years,treated_grids,control_grids,treated_post_zero_rows,wrong_term_rows
1,24246,2017,24208,24267,2,2,2,1,448,67553,0.0,0.0
2,24246,2019,24239,24272,1,1,1,1,58,10491,0.0,0.0
3,24247,2017,24208,24267,2,2,2,1,289,67264,0.0,0.0
4,24247,2019,24239,24272,1,1,1,1,270,10221,0.0,0.0
5,24248,2017,24208,24267,2,1,2,1,199,67065,0.0,0.0
6,24248,2019,24239,24272,1,1,1,1,61,10160,0.0,0.0
7,24249,2015,24192,24251,1,1,1,1,57,21647,0.0,0.0
8,24249,2017,24208,24267,2,2,2,1,1712,65353,0.0,0.0
9,24249,2019,24239,24272,1,1,1,1,388,9772,0.0,0.0
10,24250,2017,24208,24267,2,1,2,1,678,64675,0.0,0.0
11,24250,2019,24239,24272,1,1,1,1,221,9551,0.0,0.0
12,24251,2015,24192,24251,1,1,1,1,531,21116,0.0,0.0
13,24251,2017,24208,24267,2,2,2,1,651,64024,0.0,0.0
14,24251,2019,24239,24272,1,1,1,1,301,9250,0.0,0.0
15,24252,2017,24208,24267,2,2,2,1,369,63655,0.0,0.0
16,24252,2019,24239,24272,1,1,1,1,252,8998,0.0,0.0
17,24252,2020,24252,24272,1,1,1,1,676,20440,0.0,0.0
18,24253,2017,24208,24267,2,2,2,1,499,63156,0.0,0.0
19,24253,2019,24239,24272,1,1,1,1,147,8851,0.0,0.0
20,24253,2020,24252,24272,1,1,1,1,91,20349,0.0,0.0
21,24254,2017,24208,24267,2,2,2,1,549,62607,0.0,0.0
22,24254,2019,24239,24272,1,1,1,1,513,8338,0.0,0.0
23,24254,2020,24252,24272,1,1,1,1,96,20253,0.0,0.0
24,24255,2017,24208,24267,2,2,2,1,146,62461,0.0,0.0
25,24255,2019,24239,24272,1,1,1,1,238,8100,0.0,0.0
26,24256,2017,24208,24267,2,1,2,1,185,62276,0.0,0.0
27,24256,2019,24239,24272,1,1,1,1,84,8016,0.0,0.0
28,24256,2020,24252,24272,1,1,1,1,16,20237,0.0,0.0
29,24257,2017,24208,24267,2,2,2,1,373,61903,0.0,0.0
30,24257,2019,24239,24272,1,1,1,1,181,7835,0.0,0.0
31,24258,2017,24208,24267,2,2,2,1,358,61545,0.0,0.0
32,24258,2019,24239,24272,1,1,1,1,80,7755,0.0,0.0
33,24259,2017,24208,24267,2,2,2,1,149,61396,0.0,0.0
34,24259,2019,24239,24272,1,1,1,1,162,7593,0.0,0.0
35,24260,2017,24208,24267,2,2,2,1,402,60994,0.0,0.0
36,24260,2019,24239,24272,1,1,1,1,118,7475,0.0,0.0
37,24261,2017,24208,24267,2,2,2,1,538,60456,0.0,0.0
38,24261,2019,24239,24272,1,1,1,1,27,7448,0.0,0.0
39,24261,2020,24252,24272,1,1,1,1,36,20201,0.0,0.0
40,24262,2017,24208,24267,2,2,2,1,262,60194,0.0,0.0
41,24262,2019,24239,24272,1,1,1,1,104,7344,0.0,0.0
42,24263,2017,24208,24267,2,2,2,1,114,60080,0.0,0.0
43,24263,2019,24239,24272,1,1,1,1,73,7271,0.0,0.0
44,24264,2017,24208,24267,2,2,2,1,85,59995,0.0,0.0
