"ID","Election year","Term start","Protest month","Term end","Relative months","Natural relative years"
"1","2017","2017-04","2020-06","2022-03","-38 to 21","-4 to 1"
"2","2019","2019-11","2020-06","2022-08","-7 to 26","-1 to 2"
"3","2017","2017-04","2020-07","2022-03","-39 to 20","-4 to 1"
"4","2019","2019-11","2020-07","2022-08","-8 to 25","-1 to 2"
"5","2017","2017-04","2020-08","2022-03","-40 to 19","-4 to 1"
"6","2019","2019-11","2020-08","2022-08","-9 to 24","-1 to 2"
"7","2015","2015-12","2020-09","2020-11","-57 to 2","-5 to 0"
"8","2017","2017-04","2020-09","2022-03","-41 to 18","-4 to 1"
"9","2019","2019-11","2020-09","2022-08","-10 to 23","-1 to 1"
"10","2017","2017-04","2020-10","2022-03","-42 to 17","-4 to 1"
"11","2019","2019-11","2020-10","2022-08","-11 to 22","-1 to 1"
"12","2015","2015-12","2020-11","2020-11","-59 to 0","-5 to 0"
"13","2017","2017-04","2020-11","2022-03","-43 to 16","-4 to 1"
"14","2019","2019-11","2020-11","2022-08","-12 to 21","-1 to 1"
"15","2017","2017-04","2020-12","2022-03","-44 to 15","-4 to 1"
"16","2019","2019-11","2020-12","2022-08","-13 to 20","-2 to 1"
"17","2020","2020-12","2020-12","2022-08","0 to 20","0 to 1"
"18","2017","2017-04","2021-01","2022-03","-45 to 14","-4 to 1"
"19","2019","2019-11","2021-01","2022-08","-14 to 19","-2 to 1"
"20","2020","2020-12","2021-01","2022-08","-1 to 19","-1 to 1"
"21","2017","2017-04","2021-02","2022-03","-46 to 13","-4 to 1"
"22","2019","2019-11","2021-02","2022-08","-15 to 18","-2 to 1"
"23","2020","2020-12","2021-02","2022-08","-2 to 18","-1 to 1"
"24","2017","2017-04","2021-03","2022-03","-47 to 12","-4 to 1"
"25","2019","2019-11","2021-03","2022-08","-16 to 17","-2 to 1"
"26","2017","2017-04","2021-04","2022-03","-48 to 11","-4 to 0"
"27","2019","2019-11","2021-04","2022-08","-17 to 16","-2 to 1"
"28","2020","2020-12","2021-04","2022-08","-4 to 16","-1 to 1"
"29","2017","2017-04","2021-05","2022-03","-49 to 10","-5 to 0"
"30","2019","2019-11","2021-05","2022-08","-18 to 15","-2 to 1"
"31","2017","2017-04","2021-06","2022-03","-50 to 9","-5 to 0"
"32","2019","2019-11","2021-06","2022-08","-19 to 14","-2 to 1"
"33","2017","2017-04","2021-07","2022-03","-51 to 8","-5 to 0"
"34","2019","2019-11","2021-07","2022-08","-20 to 13","-2 to 1"
"35","2017","2017-04","2021-08","2022-03","-52 to 7","-5 to 0"
"36","2019","2019-11","2021-08","2022-08","-21 to 12","-2 to 1"
"37","2017","2017-04","2021-09","2022-03","-53 to 6","-5 to 0"
"38","2019","2019-11","2021-09","2022-08","-22 to 11","-2 to 0"
"39","2020","2020-12","2021-09","2022-08","-9 to 11","-1 to 0"
"40","2017","2017-04","2021-10","2022-03","-54 to 5","-5 to 0"
"41","2019","2019-11","2021-10","2022-08","-23 to 10","-2 to 0"
"42","2017","2017-04","2021-11","2022-03","-55 to 4","-5 to 0"
"43","2019","2019-11","2021-11","2022-08","-24 to 9","-2 to 0"
"44","2017","2017-04","2021-12","2022-03","-56 to 3","-5 to 0"
