cohort_id,cohort,cohort_election_year,province,treat,grids,rows
1,24246,2017,Punjab,1,388,23280
1,24246,2017,Uttar Pradesh,1,60,3600
1,24246,2017,Punjab,0,11665,627124
1,24246,2017,Uttar Pradesh,0,55888,3316527
2,24246,2019,Haryana,1,58,3480
2,24246,2019,Haryana,0,10491,482391
3,24247,2017,Punjab,1,261,15660
3,24247,2017,Uttar Pradesh,1,28,1680
3,24247,2017,Punjab,0,11404,616945
3,24247,2017,Uttar Pradesh,0,55860,3315435
4,24247,2019,Haryana,1,270,16200
4,24247,2019,Haryana,0,10221,480231
5,24248,2017,Punjab,1,199,11940
5,24248,2017,Punjab,0,11205,608985
5,24248,2017,Uttar Pradesh,0,55860,3315435
6,24248,2019,Haryana,1,61,3660
6,24248,2019,Haryana,0,10160,479682
7,24249,2015,Bihar,1,57,3420
7,24249,2015,Bihar,0,21647,1298289
8,24249,2017,Punjab,1,625,37500
8,24249,2017,Uttar Pradesh,1,1087,65220
8,24249,2017,Punjab,0,10580,583360
8,24249,2017,Uttar Pradesh,0,54773,3270868
9,24249,2019,Haryana,1,388,23280
9,24249,2019,Haryana,0,9772,475802
10,24250,2017,Punjab,1,678,40680
10,24250,2017,Punjab,0,9902,554884
10,24250,2017,Uttar Pradesh,0,54773,3270868
11,24250,2019,Haryana,1,221,13260
11,24250,2019,Haryana,0,9551,473371
12,24251,2015,Bihar,1,531,31860
12,24251,2015,Bihar,0,21116,1266960
13,24251,2017,Punjab,1,553,33180
13,24251,2017,Uttar Pradesh,1,98,5880
13,24251,2017,Punjab,0,9349,531105
13,24251,2017,Uttar Pradesh,0,54675,3266654
14,24251,2019,Haryana,1,301,18060
14,24251,2019,Haryana,0,9250,469759
15,24252,2017,Punjab,1,91,5460
15,24252,2017,Uttar Pradesh,1,278,16680
15,24252,2017,Punjab,0,9258,527101
15,24252,2017,Uttar Pradesh,0,54397,3254422
16,24252,2019,Haryana,1,252,15120
16,24252,2019,Haryana,0,8998,466483
17,24252,2020,Bihar,1,676,33124
17,24252,2020,Bihar,0,20440,990520
18,24253,2017,Punjab,1,384,23040
18,24253,2017,Uttar Pradesh,1,115,6900
18,24253,2017,Punjab,0,8874,509821
18,24253,2017,Uttar Pradesh,0,54282,3249247
19,24253,2019,Haryana,1,147,8820
19,24253,2019,Haryana,0,8851,464425
20,24253,2020,Bihar,1,91,4459
20,24253,2020,Bihar,0,20349,990429
21,24254,2017,Punjab,1,328,19680
21,24254,2017,Uttar Pradesh,1,221,13260
21,24254,2017,Punjab,0,8546,494733
21,24254,2017,Uttar Pradesh,0,54061,3239081
22,24254,2019,Haryana,1,513,30780
22,24254,2019,Haryana,0,8338,456730
23,24254,2020,Bihar,1,96,4704
23,24254,2020,Bihar,0,20253,990237
24,24255,2017,Punjab,1,108,6480
24,24255,2017,Uttar Pradesh,1,38,2280
24,24255,2017,Punjab,0,8438,489657
24,24255,2017,Uttar Pradesh,0,54023,3237295
25,24255,2019,Haryana,1,238,14280
25,24255,2019,Haryana,0,8100,452922
26,24256,2017,Punjab,1,185,11100
26,24256,2017,Punjab,0,8253,480777
26,24256,2017,Uttar Pradesh,0,54023,3237295
27,24256,2019,Haryana,1,84,5040
27,24256,2019,Haryana,0,8016,451494
28,24256,2020,Bihar,1,16,784
28,24256,2020,Bihar,0,20237,990173
29,24257,2017,Punjab,1,321,19260
29,24257,2017,Uttar Pradesh,1,52,3120
29,24257,2017,Punjab,0,7932,465048
29,24257,2017,Uttar Pradesh,0,53971,3234747
30,24257,2019,Haryana,1,181,10860
30,24257,2019,Haryana,0,7835,448236
31,24258,2017,Punjab,1,337,20220
31,24258,2017,Uttar Pradesh,1,21,1260
31,24258,2017,Punjab,0,7595,448198
31,24258,2017,Uttar Pradesh,0,53950,3233697
32,24258,2019,Haryana,1,80,4800
32,24258,2019,Haryana,0,7755,446716
33,24259,2017,Punjab,1,110,6600
33,24259,2017,Uttar Pradesh,1,39,2340
33,24259,2017,Punjab,0,7485,442588
33,24259,2017,Uttar Pradesh,0,53911,3231708
34,24259,2019,Haryana,1,162,9720
34,24259,2019,Haryana,0,7593,443476
35,24260,2017,Punjab,1,372,22320
35,24260,2017,Uttar Pradesh,1,30,1800
35,24260,2017,Punjab,0,7113,423244
35,24260,2017,Uttar Pradesh,0,53881,3230148
36,24260,2019,Haryana,1,118,7080
36,24260,2019,Haryana,0,7475,440998
37,24261,2017,Punjab,1,364,21840
37,24261,2017,Uttar Pradesh,1,174,10440
37,24261,2017,Punjab,0,6749,403952
37,24261,2017,Uttar Pradesh,0,53707,3220926
38,24261,2019,Haryana,1,27,1620
38,24261,2019,Haryana,0,7448,440404
39,24261,2020,Bihar,1,36,1764
39,24261,2020,Bihar,0,20201,989849
40,24262,2017,Punjab,1,99,5940
40,24262,2017,Uttar Pradesh,1,163,9780
40,24262,2017,Punjab,0,6650,398606
40,24262,2017,Uttar Pradesh,0,53544,3212124
41,24262,2019,Haryana,1,104,6240
41,24262,2019,Haryana,0,7344,438012
42,24263,2017,Punjab,1,58,3480
42,24263,2017,Uttar Pradesh,1,56,3360
42,24263,2017,Punjab,0,6592,395416
42,24263,2017,Uttar Pradesh,0,53488,3209044
43,24263,2019,Haryana,1,73,4380
43,24263,2019,Haryana,0,7271,436260
44,24264,2017,Punjab,1,26,1560
44,24264,2017,Uttar Pradesh,1,59,3540
44,24264,2017,Punjab,0,6566,393960
44,24264,2017,Uttar Pradesh,0,53429,3205740
