fe_id,control_sample,version,time,beta,se,lower,upper
1,never,original,-8,35.2015695922672,42.8586704364447,-48.8014244631644,119.204563647699
1,never,original,-7,93.5032977628143,47.5475447997898,0.310109955226238,186.696485570402
1,never,original,-6,98.8943488894285,48.5676122093215,3.70182895915831,194.086868819699
1,never,original,-5,114.011082399414,58.5981241233939,-0.841240882437603,228.863405681266
1,never,original,-4,47.2437326158501,45.4578865800363,-41.8537250810211,136.341190312721
1,never,original,-3,29.8825588615101,42.748335561749,-53.904178839518,113.669296562538
1,never,original,-2,-21.3934242708419,53.3045191879927,-125.870281879308,83.0834333376237
1,never,original,-1,0,0,0,0
1,never,original,0,85.0147383820736,41.1816606400541,4.29868352756748,165.73079323658
1,never,original,1,-17.5002048967869,72.7427137132161,-160.07592377469,125.075513981117
1,never,rotated,-8,-61.7009173610971,42.8586704364447,-145.703911416529,22.3020766943344
1,never,rotated,-7,10.4440232313592,47.5475447997898,-82.7491645762288,103.637211038947
1,never,rotated,-6,29.6782867798826,48.5676122093215,-65.5142331503876,124.870806710153
1,never,rotated,-5,58.6382327117777,58.5981241233939,-56.2140905700743,173.49055599363
1,never,rotated,-4,5.7140953501226,45.4578865800363,-83.3833623467486,94.8115530469938
1,never,rotated,-3,2.19613401769175,42.748335561749,-81.5906036833363,85.9828717187198
1,never,rotated,-2,-35.2366366927511,53.3045191879927,-139.713494301217,69.2402209157145
1,never,rotated,-1,0,0,0,0
1,never,rotated,0,98.8579508039828,41.1816606400541,18.1418959494767,179.574005658489
1,never,rotated,1,10.1862199470314,72.7427137132161,-132.389498930872,152.761938824935
2,never,original,-8,31.7892251569256,42.0650999361862,-50.6583707179994,114.236821031851
2,never,original,-7,94.2572187466576,46.7915727847979,2.54573608845371,185.968701404862
2,never,original,-6,100.912242702338,48.3238024222354,6.19758995475627,195.626895449919
2,never,original,-5,103.525195540261,57.1851064149212,-8.55761303298469,215.608004113507
2,never,original,-4,46.3049041400982,44.0128069513929,-39.9601974846319,132.570005764828
2,never,original,-3,31.0300708090805,42.358637470564,-51.992858633225,114.053000251386
2,never,original,-2,-25.8481344958663,51.7276105248991,-127.234251124669,75.5379821329359
2,never,original,-1,0,0,0,0
2,never,original,0,78.5755177510558,40.9847964644276,-1.75468331922237,158.905718821334
2,never,original,1,-22.470894517021,70.5285518928572,-160.706856227021,115.765067192979
2,never,rotated,-8,-62.3036050327617,42.0650999361862,-144.751200907687,20.1439908421633
2,never,rotated,-7,13.6062214412113,46.7915727847979,-78.1052612169926,105.317704099415
2,never,rotated,-6,33.7030782811325,48.3238024222354,-61.011574466449,128.417731028714
2,never,rotated,-5,49.7578640032967,57.1851064149212,-62.3249445699489,161.840672576542
2,never,rotated,-4,5.9794054873751,44.0128069513929,-80.285696137355,92.2445071121053
2,never,rotated,-3,4.14640504059838,42.358637470564,-78.8765244017071,87.1693344829038
2,never,rotated,-2,-39.2899673801074,51.7276105248991,-140.67608400891,62.0961492486948
2,never,rotated,-1,0,0,0,0
2,never,rotated,0,92.0173506352969,40.9847964644276,11.6871495650187,172.347551705575
2,never,rotated,1,4.41277125146113,70.5285518928572,-133.823190458539,142.648732961461
3,never,original,-8,-8.77849959198972,42.9438418011299,-92.9484295222043,75.3914303382248
3,never,original,-7,56.0626766490476,47.7306293326118,-37.4893568428715,149.614710140967
3,never,original,-6,67.6895735089129,48.3237758675957,-27.0250271915747,162.4041742094
