fe_id,control_sample,version,period,estimate,se,lower,upper
1,never,original,pre,56.7633094072061,36.6610277698926,-15.0923050217833,128.618923836196
1,never,original,post,33.7572667426434,49.6334403395164,-63.5242763228087,131.038809808095
1,never,rotated,pre,1.39045971956939,9.44555841559888,-17.1228347750044,19.9037542141432
1,never,rotated,post,54.5220853755071,57.4520255512736,-58.0838847049891,167.128055456003
2,never,original,pre,54.567246085642,35.7007226763425,-15.4061703599892,124.540662531273
2,never,original,post,28.0523116170174,48.367685748108,-66.7483524492742,122.852975683309
2,never,rotated,pre,0.79991454867785,9.22690628169638,-17.2848217634471,18.8846508608028
2,never,rotated,post,48.215060943379,55.8792599494345,-61.3082885575126,157.738410444271
3,never,original,pre,31.7700694006385,36.4077609046943,-39.5891419725624,103.129280773839
3,never,original,post,42.1709331401841,49.6629292756823,-55.1684082401533,139.510274520521
3,never,rotated,pre,1.41197391409145,9.45210774454249,-17.1141572652118,19.9381050933947
3,never,rotated,post,53.5552189476393,57.3053409775284,-58.7632493683164,165.873687263595
4,never,original,pre,54.4402123680012,36.6219747900192,-17.3388582204364,126.219282956439
4,never,original,post,30.6793519185953,49.5706039931995,-66.4790319080757,127.837735745266
4,never,rotated,pre,0.826636583133979,9.41331879475302,-17.6234682545819,19.2767414208499
4,never,rotated,post,50.7844428379206,57.4223435556014,-61.7633505310581,163.332236206899
5,never,original,pre,22.1614666735012,35.9444014747343,-48.2895602169781,92.6124935639805
5,never,original,post,78.9027731045814,47.9228441011747,-15.0260013337211,172.831547542884
5,never,rotated,pre,0.277688477353402,9.30559666128712,-17.9612809787693,18.5166579334761
5,never,rotated,post,87.1091899281368,55.7518259314395,-22.1643888974845,196.382768753758
6,never,original,pre,52.052246841408,34.7726040304709,-16.102057058315,120.206550741131
6,never,original,post,54.5602873217485,47.5510951314119,-38.6398591358188,147.760433779316
6,never,rotated,pre,9.78115879358394,9.07102581956412,-7.99805181276173,27.5603693999296
6,never,rotated,post,70.4119453396826,55.4102257719627,-38.1920971733643,179.015987852729
7,never,original,pre,28.6606669856879,35.5046613926607,-40.9284693439271,98.2498033153028
7,never,original,post,37.4528615210869,48.3730769466765,-57.358369294399,132.264092336573
7,never,rotated,pre,0.796169191712878,9.22861554745125,-17.2919172812916,18.8842556647173
7,never,rotated,post,47.9020481938275,55.724914859522,-61.3187849308356,157.122881318491
8,never,original,pre,53.0559120481507,35.6248843627036,-16.7688613027484,122.88068539905
8,never,original,post,25.7884811423825,48.4050117760844,-69.0853419387428,120.662304223508
8,never,rotated,pre,0.467706614203147,9.19373805969592,-17.5520199828008,18.4874332112071
8,never,rotated,post,45.5090581801129,55.9177893476874,-64.0898089413544,155.10792530158
9,never,original,pre,20.8971527330765,35.2302829061832,-48.1542017630426,89.9485072291956
9,never,original,post,77.2474806048126,46.7249425591687,-14.3334068111581,168.828368020783
9,never,rotated,pre,0.600901325991428,9.16241904297267,-17.357439998235,18.5592426502179
9,never,rotated,post,84.8585748824695,54.3093071313614,-21.5876670949988,191.304816859938
10,never,original,pre,54.0268701874565,34.255908963895,-13.1147113817778,121.168451756691
10,never,original,post,63.2715349224018,46.5124363031162,-27.892840231706,154.43591007651
10,never,rotated,pre,10.970081428372,8.93151147525873,-6.53568106313513,28.4758439198791
10,never,rotated,post,79.4178307070585,54.1957260348531,-26.8057923212535,185.64145373537
11,never,original,pre,29.3448902859649,36.3707160717538,-41.9417132146726,100.631493786602
11,never,original,post,38.574216051229,49.6204598302749,-58.6818852161098,135.830317318568
11,never,rotated,pre,0.872539989496064,9.42528199631941,-17.60101272329,19.3460927022821
11,never,rotated,post,49.2513474124048,57.2913690992275,-63.039736022081,161.542430846891
12,never,original,pre,49.4108869975001,35.1839253154326,-19.5496066207478,118.371380615748
12,never,original,post,72.8343321415584,47.711751610012,-20.6807010140651,166.349365297182
12,never,rotated,pre,5.03774192369286,9.09081899964414,-12.7802633156097,22.8557471629954
12,never,rotated,post,89.4742615442361,55.5129567405913,-19.3311336673228,198.279656755795
13,never,original,pre,52.1919176413268,34.7443646378934,-15.9070370489444,120.290872331598
13,never,original,post,53.6110806787341,47.7014456624023,-39.8837528195745,147.105914177043
13,never,rotated,pre,9.6943383071459,9.05368177454603,-8.05087797096432,27.4395545852561
13,never,rotated,post,69.5476729290519,55.5596697773525,-39.349279834559,178.444625692663
14,never,original,pre,20.8879973493253,36.0002731063535,-49.6725379391276,91.4485326377782
14,never,original,post,76.7035201805881,48.031960650482,-17.4391226943565,170.846163055533
14,never,rotated,pre,-0.0506668864324142,9.31748484611795,-18.3129371848236,18.2116034119588
14,never,rotated,post,84.5555192689973,55.8789848244413,-24.9672909869077,194.078329524902
15,never,original,pre,52.0522468420554,34.7726628935271,-16.1021724292578,120.206666113369
15,never,original,post,54.5602873221921,47.5511757669588,-38.6400171810472,147.760591825431
15,never,rotated,pre,9.78115879370467,9.07104147170017,-7.99808249082766,27.560400078237
15,never,rotated,post,70.4119453403236,55.410319344612,-38.1922805751158,179.016171255763
16,never,original,pre,52.0522468414055,34.775310237807,-16.1073612246962,120.211854907507
