reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,1bno.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,2o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,3o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,4o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,5o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,6o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,7o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,9o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,10o.relative_year_bin_aux,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,1o.treat,0,445.2802717786945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg1,wind_direction,-1.102881275164022,445.2802717786945,0,0,0,0,0,0,0,0,0,0,.0074853776651782,-.0595413352453643,-.038800303910283,.0739839704330736,.1345582347106328,.1359522262089591,.2637738871969512,-.0120100126123051,.1519936852169587,-.0092962464625897,-.7663451414280957
evreg1,av_wind_speed,334.2315730298056,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0595413352453643,2037.526416215213,-56.82923586609883,25.68432472604118,28.1665694404203,69.75095813243982,97.86566133673116,-112.5022003496946,46.52525284134514,52.04547682394628,-373.5991628868965
evreg1,1bn.relative_year_bin_aux#1.treat,-21.99157366493653,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.038800303910283,-56.82923586609883,2612.373454927299,1490.850471075184,1746.798835153287,1162.837896986945,1186.3384469841,1446.046360472212,1793.403695338866,1863.516840832361,1898.156714573986
evreg1,2.relative_year_bin_aux#1.treat,42.8068105430742,445.2802717786945,0,0,0,0,0,0,0,0,0,0,.0739839704330736,25.68432472604118,1490.850471075184,2608.83606681117,1770.852102648324,1483.702364117946,1210.795985955252,1474.424592011698,1753.996265932483,1879.435791904486,1881.175631945385
evreg1,3.relative_year_bin_aux#1.treat,104.337218417292,445.2802717786945,0,0,0,0,0,0,0,0,0,0,.1345582347106328,28.1665694404203,1746.798835153287,1770.852102648324,2786.376619663366,1336.763534602222,1472.232092079321,1446.145017022287,1742.404840297115,1834.220089767122,1698.992634548008
evreg1,4.relative_year_bin_aux#1.treat,36.9515704614679,445.2802717786945,0,0,0,0,0,0,0,0,0,0,.1359522262089591,69.75095813243982,1162.837896986945,1483.702364117946,1336.763534602222,3339.127267024391,1603.724034015138,1442.481148366695,1990.559622882391,1933.093389375118,1891.233824213328
evreg1,5.relative_year_bin_aux#1.treat,32.82356455457447,445.2802717786945,0,0,0,0,0,0,0,0,0,0,.2637738871969512,97.86566133673116,1186.3384469841,1210.795985955252,1472.232092079321,1603.724034015138,2435.147612991788,1103.286453075992,1752.441481492835,1729.763996348667,1446.573301197652
evreg1,6.relative_year_bin_aux#1.treat,89.72229441412202,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0120100126123051,-112.5022003496946,1446.046360472212,1474.424592011698,1446.145017022287,1442.481148366695,1103.286453075992,2495.830701751142,1813.357230391882,1735.512834240705,2144.474416536118
evreg1,7.relative_year_bin_aux#1.treat,-14.07805961710693,445.2802717786945,0,0,0,0,0,0,0,0,0,0,.1519936852169587,46.52525284134514,1793.403695338866,1753.996265932483,1742.404840297115,1990.559622882391,1752.441481492835,1813.357230391882,3130.572378141202,2448.639099669913,2291.423094349845
evreg1,9.relative_year_bin_aux#1.treat,175.6235182762276,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.0092962464625897,52.04547682394628,1863.516840832361,1879.435791904486,1834.220089767122,1933.093389375118,1729.763996348667,1735.512834240705,2448.639099669913,4751.72877606345,3830.040285420886
evreg1,10.relative_year_bin_aux#1.treat,616.802225994763,445.2802717786945,0,0,0,0,0,0,0,0,0,0,-.7663451414280957,-373.5991628868965,1898.156714573986,1881.175631945385,1698.992634548008,1891.233824213328,1446.573301197652,2144.474416536118,2291.423094349845,3830.040285420886,44541.35578151618
