reg,ll0,r2_within,sumweights,N_clustervars,N_clust1,N_clust,drop_singletons,report_constant,ymean,ymean2,acq,N,N_hdfe,N_full,rank,df_m,ic,converged,num_singletons,df_a,df_r,tss,tss_within,rss,mss,r2,r2_a,F,r2_a_within,rmse,ll,_estimates_name,properties,vcetype,vce,clustvar,clustvar1,title3,depvar,indepvars,model,title,title2,absvars,marginsnotok,predict,estat_cmd,cmdline,flinejl,cmdlinejl,cmd,_r_z__CL,_r_z_abs__CL,smpl,fespec,mod,controls
evreg1,-462383094.6905071,.0097341159609787,55402125,1,10961,10961,1,0,473.1087377897488,,808,55402125,2,55402125,8,8,8,1,0,1062307,10961,57576849169279.27,51660451259984.67,51157582436823.49,6419266732455.773,.1114904136831586,.0941205301175261,345.6143473825412,.0097339701723372,970.2774733199496,-459108556.4658574,evreg1,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 2 HDFE groups,i.unique_small_grid_id_cohort i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( relativeyear_cohort )),"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE1: unique_small_grid_id_cohort relativeyear_cohort,moderator,pooled
evreg2,-462383094.6905071,.0097619792605274,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,2,55402125,20,20,8,1,0,1062307,10961,57576849169279.27,51660451259984.67,51156143006195.22,6420706163084.047,.1115154138464021,.094145818978379,153.5577755932715,.0097616147990985,970.2639299159555,-459107777.0248269,evreg2,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 2 HDFE groups,i.unique_small_grid_id_cohort i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + rice_prod_aclvl_ahigh + relative_year_bin_aux&rice_prod_aclvl_ahigh + treat&rice_prod_aclvl_ahigh + relative_year_bin_aux&treat&rice_prod_aclvl_ahigh + wind_dir,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:rice_prod_aclvl_ahigh=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE1: unique_small_grid_id_cohort relativeyear_cohort,rice_prod_aclvl_ahigh,pooled
evreg3,-462383094.6905071,.0007928051462244,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,9,1,0,1065131,10961,57576849169279.27,36023868867289.2,35995308958664.3,21581540210614.97,.3748301708411308,.3625751703413134,40.92742137668607,.0007924373645386,813.9078332274484,-449371020.8761009,evreg3,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.monthyearco i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort monthyearco relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + moderator + relative_year_bin_aux&moderator + treat&moderator + relative_year_bin_aux&treat&moderator + wind_direction + av_wind_speed  + fe( unique_small_grid_,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:moderator=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE2: unique_small_grid_id_cohort monthyearco relativeyear_cohort,moderator,pooled
evreg4,-462383094.6905071,.0007928051462244,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,9,1,0,1065131,10961,57576849169279.27,36023868867289.2,35995308958664.3,21581540210614.97,.3748301708411308,.3625751703413134,40.92742137668607,.0007924373645386,813.9078332274484,-449371020.8761009,evreg4,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.monthyearco i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort monthyearco relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + rice_prod_aclvl_ahigh + relative_year_bin_aux&rice_prod_aclvl_ahigh + treat&rice_prod_aclvl_ahigh + relative_year_bin_aux&treat&rice_prod_aclvl_ahigh + wind_dir,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:rice_prod_aclvl_ahigh=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE2: unique_small_grid_id_cohort monthyearco relativeyear_cohort,rice_prod_aclvl_ahigh,pooled
evreg5,-462383094.6905071,.0089259854576611,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,25,1,0,1062366,10961,57576849169279.27,50230608741190.13,49782251058036.8,7794598111242.469,.1353772952793214,.1184732355790222,121.2917215005715,.0089256206881452,957.1466668030371,-458353641.4429973,evreg5,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.province_cohort#c.monthyear i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort province_cohort#c.monthyear relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + moderator + relative_year_bin_aux&moderator + treat&moderator + relative_year_bin_aux&treat&moderator + wind_direction + av_wind_speed  + fe( unique_small_grid_,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:moderator=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE3: unique_small_grid_id_cohort province_cohort#c.monthyear relativeyear_cohort,moderator,pooled
evreg6,-462383094.6905071,.0089259854576611,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,25,1,0,1062366,10961,57576849169279.27,50230608741190.13,49782251058036.8,7794598111242.469,.1353772952793214,.1184732355790222,121.2917215005715,.0089256206881452,957.1466668030371,-458353641.4429973,evreg6,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.province_cohort#c.monthyear i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort province_cohort#c.monthyear relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + rice_prod_aclvl_ahigh + relative_year_bin_aux&rice_prod_aclvl_ahigh + treat&rice_prod_aclvl_ahigh + relative_year_bin_aux&treat&rice_prod_aclvl_ahigh + wind_dir,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:rice_prod_aclvl_ahigh=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE3: unique_small_grid_id_cohort province_cohort#c.monthyear relativeyear_cohort,rice_prod_aclvl_ahigh,pooled
evreg7,-462383094.6905071,.0098185411843179,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,20,1,0,1062312,10961,57576849169279.27,51648269099191.07,51141158441941.93,6435690727337.336,.1117756671334347,.0944110768090205,149.3588057672038,.0098181767436735,970.1218601686784,-459099661.6914211,evreg7,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.yeargov i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort yeargov relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + moderator + relative_year_bin_aux&moderator + treat&moderator + relative_year_bin_aux&treat&moderator + wind_direction + av_wind_speed  + fe( unique_small_grid_,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:moderator=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE4: unique_small_grid_id_cohort yeargov relativeyear_cohort,moderator,pooled
evreg8,-462383094.6905071,.0098185411843179,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,20,1,0,1062312,10961,57576849169279.27,51648269099191.07,51141158441941.93,6435690727337.336,.1117756671334347,.0944110768090205,149.3588057672038,.0098181767436735,970.1218601686784,-459099661.6914211,evreg8,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.yeargov i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort yeargov relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + rice_prod_aclvl_ahigh + relative_year_bin_aux&rice_prod_aclvl_ahigh + treat&rice_prod_aclvl_ahigh + relative_year_bin_aux&treat&rice_prod_aclvl_ahigh + wind_dir,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:rice_prod_aclvl_ahigh=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE4: unique_small_grid_id_cohort yeargov relativeyear_cohort,rice_prod_aclvl_ahigh,pooled
evreg9,-462383094.6905071,.0097619792508418,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,8,1,0,1062366,10961,57576849169279.27,51660451259599.77,51156143006314.43,6420706162964.836,.1115154138443316,.0941448354346158,153.5575797491306,.0097616147890173,970.264456654584,-459107777.0248915,evreg9,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.province_cohort#i.election_year i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort province_cohort#election_year relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + moderator + relative_year_bin_aux&moderator + treat&moderator + relative_year_bin_aux&treat&moderator + wind_direction + av_wind_speed  + fe( unique_small_grid_,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:moderator=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE5: unique_small_grid_id_cohort province_cohort#election_year relativeyear_cohort,moderator,pooled
evreg10,-462383094.6905071,.0097619792508418,55402125,1,10961,10961,1,0,473.1087377897488,592.5228748884558,808,55402125,3,55402125,20,20,8,1,0,1062366,10961,57576849169279.27,51660451259599.77,51156143006314.43,6420706162964.836,.1115154138443316,.0941448354346158,153.5575797491306,.0097616147890173,970.264456654584,-459107777.0248915,evreg10,b V,Robust,cluster,ac_elec_yr,ac_elec_yr,Statistics cluster-robust,countk,ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed,ols,HDFE linear regression with Julia,Absorbing 3 HDFE groups,i.unique_small_grid_id_cohort i.province_cohort#i.election_year i.relativeyear_cohort,Residuals SCore,reghdfejl_p,reghdfejl_estat,"reghdfejl countk ib4.relative_year_bin_aux##ib0.treat##ib0.rice_prod_aclvl_ahigh wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort province_cohort#election_year relativeyear_cohort) vce(cluster ac_elec_yr)",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + rice_prod_aclvl_ahigh + relative_year_bin_aux&rice_prod_aclvl_ahigh + treat&rice_prod_aclvl_ahigh + relative_year_bin_aux&treat&rice_prod_aclvl_ahigh + wind_dir,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:rice_prod_aclvl_ahigh=>DummyCoding(base=0),  :treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=4), ))",reghdfejl,t,|t|,Rural,FE5: unique_small_grid_id_cohort province_cohort#election_year relativeyear_cohort,rice_prod_aclvl_ahigh,pooled
