relative_period,coefficient,se,pvalue,ci95_lower,ci95_upper
-5,      6.6328894985,      3.0627190504,      0.0303354020,      0.6300625819,     12.6357164151
-4,      1.5784129666,      2.5743915852,      0.5397966350,     -3.4673084486,      6.6241343817
-3,     -0.4782190886,      2.9767569243,      0.8723682899,     -6.3125631127,      5.3561249355
-2,      3.9675343606,      2.8127889745,      0.1583824147,     -1.5454379653,      9.4805066864
-1,     -0.2971386843,      2.8017735733,      0.9155397038,     -5.7885211921,      5.1942438235
1,      4.0265936712,      4.1951204757,      0.3371420905,     -4.1957021695,     12.2488895119
2,     -2.8541585759,      3.3390071814,      0.3926662068,     -9.3985009897,      3.6901838378
3,    -15.7393753421,      2.9125222825,      0.0000000652,    -21.4478216163,    -10.0309290679
4,    -18.8500836164,      3.2122014830,      0.0000000044,    -25.1458911018,    -12.5542761310
5,    -22.2638751734,      3.8774341898,      0.0000000094,    -29.8635165178,    -14.6642338290
6,     -6.1735989323,      4.9367837002,      0.2111061130,    -15.8495298905,      3.5023320260
average_1_to_6,    -10.3090829948,      2.4906374885,      0.0000348650,    -15.1906491813,     -5.4275168083
