unique_small_grid_id,province,ac_uq_id,sample_rank,stratum_grids,selected_from_stratum,sample_seed,sample_fraction
36791,Bihar,0,1,88,1,20260831,0.01
41359,Bihar,1,1,104,2,20260831,0.01
39048,Bihar,1,2,104,2,20260831,0.01
36818,Bihar,2,1,90,1,20260831,0.01
45960,Bihar,3,1,127,2,20260831,0.01
34437,Bihar,3,2,127,2,20260831,0.01
34496,Bihar,4,1,131,2,20260831,0.01
34453,Bihar,4,2,131,2,20260831,0.01
39091,Bihar,5,1,121,2,20260831,0.01
43765,Bihar,5,2,121,2,20260831,0.01
7150,Bihar,6,1,106,2,20260831,0.01
5579,Bihar,6,2,106,2,20260831,0.01
8836,Bihar,7,1,112,2,20260831,0.01
8829,Bihar,7,2,112,2,20260831,0.01
2964,Bihar,8,1,124,2,20260831,0.01
2982,Bihar,8,2,124,2,20260831,0.01
4226,Bihar,9,1,173,2,20260831,0.01
7112,Bihar,9,2,173,2,20260831,0.01
8759,Bihar,10,1,100,1,20260831,0.01
5663,Bihar,11,1,145,2,20260831,0.01
7169,Bihar,11,2,145,2,20260831,0.01
11291,Bihar,12,1,75,1,20260831,0.01
7793,Bihar,13,1,106,2,20260831,0.01
9419,Bihar,13,2,106,2,20260831,0.01
4786,Bihar,14,1,207,3,20260831,0.01
7689,Bihar,14,2,207,3,20260831,0.01
9322,Bihar,14,3,207,3,20260831,0.01
9441,Bihar,15,1,108,2,20260831,0.01
9458,Bihar,15,2,108,2,20260831,0.01
6185,Bihar,16,1,227,3,20260831,0.01
3521,Bihar,16,2,227,3,20260831,0.01
4835,Bihar,16,3,227,3,20260831,0.01
24890,Bihar,17,1,66,1,20260831,0.01
20245,Bihar,18,1,55,1,20260831,0.01
20215,Bihar,19,1,48,1,20260831,0.01
24945,Bihar,20,1,69,1,20260831,0.01
15472,Bihar,21,1,76,1,20260831,0.01
17873,Bihar,22,1,65,1,20260831,0.01
22576,Bihar,23,1,54,1,20260831,0.01
15666,Bihar,24,1,4,1,20260831,0.01
17985,Bihar,25,1,95,1,20260831,0.01
18066,Bihar,26,1,95,1,20260831,0.01
13517,Bihar,27,1,108,2,20260831,0.01
15657,Bihar,27,2,108,2,20260831,0.01
13442,Bihar,28,1,84,1,20260831,0.01
15758,Bihar,29,1,125,2,20260831,0.01
18085,Bihar,29,2,125,2,20260831,0.01
13500,Bihar,30,1,83,1,20260831,0.01
19813,Bihar,31,1,79,1,20260831,0.01
24578,Bihar,32,1,30,1,20260831,0.01
26951,Bihar,33,1,76,1,20260831,0.01
19817,Bihar,34,1,93,1,20260831,0.01
19864,Bihar,35,1,85,1,20260831,0.01
26879,Bihar,36,1,82,1,20260831,0.01
15000,Bihar,37,1,88,1,20260831,0.01
17344,Bihar,38,1,104,2,20260831,0.01
24486,Bihar,38,2,104,2,20260831,0.01
24440,Bihar,39,1,59,1,20260831,0.01
22103,Bihar,40,1,111,2,20260831,0.01
19679,Bihar,40,2,111,2,20260831,0.01
17276,Bihar,41,1,112,2,20260831,0.01
19659,Bihar,41,2,112,2,20260831,0.01
34221,Bihar,42,1,62,1,20260831,0.01
34100,Bihar,43,1,70,1,20260831,0.01
34199,Bihar,44,1,65,1,20260831,0.01
36397,Bihar,45,1,19,1,20260831,0.01
36443,Bihar,46,1,57,1,20260831,0.01
31974,Bihar,47,1,65,1,20260831,0.01
34159,Bihar,48,1,54,1,20260831,0.01
40983,Bihar,49,1,58,1,20260831,0.01
38719,Bihar,50,1,56,1,20260831,0.01
31957,Bihar,51,1,67,1,20260831,0.01
8962,Bihar,52,1,126,2,20260831,0.01
10859,Bihar,52,2,126,2,20260831,0.01
5742,Bihar,53,1,193,2,20260831,0.01
3166,Bihar,53,2,193,2,20260831,0.01
8950,Bihar,54,1,72,1,20260831,0.01
5734,Bihar,55,1,137,2,20260831,0.01
4485,Bihar,55,2,137,2,20260831,0.01
5763,Bihar,56,1,9,1,20260831,0.01
5685,Bihar,57,1,116,2,20260831,0.01
4384,Bihar,57,2,116,2,20260831,0.01
3057,Bihar,58,1,204,3,20260831,0.01
2148,Bihar,58,2,204,3,20260831,0.01
3029,Bihar,58,3,204,3,20260831,0.01
3147,Bihar,59,1,107,2,20260831,0.01
4429,Bihar,59,2,107,2,20260831,0.01
7224,Bihar,60,1,117,2,20260831,0.01
8913,Bihar,60,2,117,2,20260831,0.01
5809,Bihar,61,1,83,1,20260831,0.01
43058,Bihar,62,1,83,1,20260831,0.01
40691,Bihar,63,1,65,1,20260831,0.01
45228,Bihar,64,1,98,1,20260831,0.01
40650,Bihar,65,1,74,1,20260831,0.01
40641,Bihar,66,1,62,1,20260831,0.01
45290,Bihar,67,1,82,1,20260831,0.01
15096,Bihar,68,1,68,1,20260831,0.01
10870,Bihar,69,1,70,1,20260831,0.01
12963,Bihar,70,1,76,1,20260831,0.01
15087,Bihar,71,1,72,1,20260831,0.01
13000,Bihar,72,1,66,1,20260831,0.01
3405,Bihar,73,1,291,3,20260831,0.01
3471,Bihar,73,2,291,3,20260831,0.01
3415,Bihar,73,3,291,3,20260831,0.01
13309,Bihar,74,1,116,2,20260831,0.01
11104,Bihar,74,2,116,2,20260831,0.01
6112,Bihar,75,1,166,2,20260831,0.01
11154,Bihar,75,2,166,2,20260831,0.01
9212,Bihar,76,1,159,2,20260831,0.01
6066,Bihar,76,2,159,2,20260831,0.01
11021,Bihar,77,1,99,1,20260831,0.01
10493,Bihar,78,1,109,2,20260831,0.01
6967,Bihar,78,2,109,2,20260831,0.01
14805,Bihar,79,1,113,2,20260831,0.01
12638,Bihar,79,2,113,2,20260831,0.01
17232,Bihar,80,1,115,2,20260831,0.01
14844,Bihar,80,2,115,2,20260831,0.01
25419,Bihar,81,1,130,2,20260831,0.01
25432,Bihar,81,2,130,2,20260831,0.01
20561,Bihar,82,1,123,2,20260831,0.01
20511,Bihar,82,2,123,2,20260831,0.01
22995,Bihar,83,1,95,1,20260831,0.01
22997,Bihar,84,1,43,1,20260831,0.01
25280,Bihar,85,1,108,2,20260831,0.01
25284,Bihar,85,2,108,2,20260831,0.01
20580,Bihar,86,1,134,2,20260831,0.01
18205,Bihar,86,2,134,2,20260831,0.01
23057,Bihar,87,1,109,2,20260831,0.01
23010,Bihar,87,2,109,2,20260831,0.01
25004,Bihar,88,1,81,1,20260831,0.01
22757,Bihar,89,1,117,2,20260831,0.01
22769,Bihar,89,2,117,2,20260831,0.01
22685,Bihar,90,1,65,1,20260831,0.01
17934,Bihar,91,1,72,1,20260831,0.01
39145,Bihar,92,1,116,2,20260831,0.01
43809,Bihar,92,2,116,2,20260831,0.01
