reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47
evreg1,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1bn.relative_year_bin_aux#1.treat,-260.0085038064517,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,2363.009670619904,968.7834161239452,226.9468971070266,-60.22276683120091,-49.00019226370163,-65.3009556371744,-182.9857968406015,52.06293370971131,117.3144853233147,-446.4671017998951,130.3981914728177,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,-53.26238331112339,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,968.7834161239452,612.6204198937322,150.4399392049207,16.65669705513504,24.78533965223292,9.208057678443092,-34.22749144929588,66.23686660171204,78.42647585274206,-109.3928806751481,26.86914913260469,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,24.57302348106183,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,226.9468971070266,150.4399392049207,204.0782498130447,116.0786009757004,38.60802542758015,65.36093348243598,10.19062052370717,59.47545399595317,45.92658346844146,52.3110203648901,9.961624860403033,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux#1.treat,47.13623364369755,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,-60.22276683120091,16.65669705513504,116.0786009757004,240.0653741604506,80.06274899797627,91.38673685641584,43.80662238714492,70.72826153851865,57.91028137398782,86.07434715169207,21.10822888331541,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux#1.treat,60.76880965809509,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,-49.00019226370163,24.78533965223292,38.60802542758015,80.06274899797627,131.3954090152571,36.99590922574141,26.97163709231931,57.44355198140521,69.24067671616086,57.41254843031749,22.89062821491833,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux#1.treat,108.009788777375,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,-65.3009556371744,9.208057678443092,65.36093348243598,91.38673685641584,36.99590922574141,352.0222503325049,12.38487261684008,43.635931246179,70.53709230304923,126.792422501383,92.82300428782251,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8.relative_year_bin_aux#1.treat,26.7612095797198,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,-182.9857968406015,-34.22749144929588,10.19062052370717,43.80662238714492,26.97163709231931,12.38487261684008,92.27567609849464,37.36541861095183,47.79125909950806,81.96136428723456,-2.486234049324341,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux#1.treat,19.73745684145064,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,52.06293370971131,66.23686660171204,59.47545399595317,70.72826153851865,57.44355198140521,43.635931246179,37.36541861095183,91.38308825706193,85.52560467856846,71.03361583140777,35.55248285849231,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux#1.treat,60.02126888515605,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,117.3144853233147,78.42647585274206,45.92658346844146,57.91028137398782,69.24067671616086,70.53709230304923,47.79125909950806,85.52560467856846,203.9424077476239,88.56226951884419,63.6820829211406,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11.relative_year_bin_aux#1.treat,78.36364399942215,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,-446.4671017998951,-109.3928806751481,52.3110203648901,86.07434715169207,57.41254843031749,126.792422501383,81.96136428723456,71.03361583140777,88.56226951884419,252.2581854641753,19.47071024754091,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12.relative_year_bin_aux#1.treat,42.13469305860922,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,130.3981914728177,26.86914913260469,9.961624860403033,21.10822888331541,22.89062821491833,92.82300428782251,-2.486234049324341,35.55248285849231,63.6820829211406,19.47071024754091,137.8935893485864,,,,,,,,,,,,,,,,,,,,,,,,
evreg2,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,6o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.rice_prod_aclvl_ahigh,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1bn.relative_year_bin_aux#1.treat,1.258099393999025,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.452530482244,707.8283514270242,304.3399325924204,200.5739696613801,190.4245991249054,-23.74595035549005,487.8867519468575,762.8671567287454,480.2306412401841,417.8940118612105,426.4641368016619,16.07246864084657,-23.21345368324123,-133.9272848868475,-82.90987052596832,-31.588130437265,-13.07272754412848,-193.8073139087705,-147.2981670488626,-23.71469091259401,6.470533875727823,221.8407010106916,0,-903.8496953025727,-662.3473095881956,-292.2011537246984,-331.3104791635578,-284.7908288677523,-26.74261586907579,-892.220924717255,-1320.311644003491,-600.0437592011144,-1073.419818038424,-760.4544717396199
