reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47
evreg1,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,7o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1bn.relative_year_bin_aux#1.treat,-368.0182925663814,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,2845.631091007966,1376.896623144453,578.9076671789817,265.7122127273308,331.3256437379138,417.320451952968,221.9510361382962,425.7491084137587,464.0990111950442,-155.9375235864889,454.8967310121753,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,-161.2721720709971,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,1376.896623144453,946.225283900197,427.8925567827814,268.0835388495266,330.6030226069735,342.81305014435,296.2013178354825,365.4147087080425,350.7027515139257,106.6286484034539,276.8595735264732,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,-83.43676527959906,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,578.9076671789817,427.8925567827814,425.3783359165043,311.3530789902827,288.2732674923896,286.6610460589644,284.4671078554324,302.5007728629415,262.0506067911948,212.1800315655382,203.7997132726399,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux#1.treat,-60.87355511911777,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,265.7122127273308,268.0835388495266,311.3530789902827,409.3141518752747,303.7023581835105,260.6354436598529,292.0574227466477,287.7277969256132,248.0085953631548,219.9177616173787,188.9204559323162,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux#1.treat,-47.24097910439002,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,331.3256437379138,330.6030226069735,288.2732674923896,303.7023581835105,409.425858408996,315.0262969210855,329.6133354903483,328.8339751357088,313.7298308464847,245.6468120765439,245.0938596009989,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,7.relative_year_bin_aux#1.treat,-108.0097887557704,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,417.320451952968,342.81305014435,286.6610460589644,260.6354436598529,315.0262969210855,352.0222639557025,339.6378433194242,308.3863989713989,281.4850606492465,225.2305280668675,259.199035665438,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8.relative_year_bin_aux#1.treat,-81.24857918137896,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,221.9510361382962,296.2013178354825,284.4671078554324,292.0574227466477,329.6133354903483,339.6378433194242,419.5286691491258,333.3671124366488,316.8916286205388,294.8069737918809,244.328239257392,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_year_bin_aux#1.treat,-88.27233191942284,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,425.7491084137587,365.4147087080425,302.5007728629415,287.7277969256132,328.8339751357088,308.3863989713989,333.3671124366488,356.1336325505107,323.3748573956987,252.6278790331725,251.1157456575717,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_year_bin_aux#1.treat,-47.98851987260251,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,464.0990111950442,350.7027515139257,262.0506067911948,248.0085953631548,313.7298308464847,281.4850606492465,316.8916286205388,323.3748573956987,414.8903381144603,243.2553408264036,252.3440720062217,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11.relative_year_bin_aux#1.treat,-29.6461447597751,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,-155.9375235864889,106.6286484034539,212.1800315655382,219.9177616173787,245.6468120765439,225.2305280668675,294.8069737918809,252.6278790331725,243.2553408264036,350.6963129258029,151.877844061075,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12.relative_year_bin_aux#1.treat,-65.87509570115061,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,454.8967310121753,276.8595735264732,203.7997132726399,188.9204559323162,245.0938596009989,259.199035665438,244.328239257392,251.1157456575717,252.3440720062217,151.877844061075,304.2695407348014,,,,,,,,,,,,,,,,,,,,,,,,
evreg2,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,7o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.rice_prod_aclvl_ahigh,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1bn.relative_year_bin_aux#1.treat,-128.3277731521955,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.231374766232,923.9308460946474,293.8279292332343,190.5424179307595,163.5501557818235,427.0317609342558,1054.770467343891,1382.192912607524,840.0629219981772,718.175178058761,829.9606326656128,-1306.292411467472,-873.3845438784032,-727.0960624891817,-449.1085690834597,-199.8331240283874,144.9568507499766,96.33856096451693,431.6144851734634,801.0013585010867,924.3873928787964,1339.239992633675,0,73.82603526311681,-124.4622801655864,203.4784946840063,-111.4570922616462,-38.31405939157982,-634.5060549399692,-2060.618919083579,-2487.521700706345,-1266.73924176318,-2000.029443181464,-1484.529582388821
