reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47,cov48,cov49
evreg1,1bno.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,7o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12o.relative_monthyear_aux,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,av_wind_speed,-26.83992688631109,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,90.70024794714169,-.0132635216445361,.6236372144657002,-.1043612030145483,-.3942394228908839,.4923158902509948,.8420809855245349,.2682327410744684,-1.993132696672571,-1.446964030273177,-1.892656196688375,-1.769860174231074,-2.93872400724312,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,wind_direction,.0232034804361829,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,-.0132635216445361,.0004988936384216,.0008184416782173,.0015304918939181,-.0003358160644878,-.0012222018747331,-.0009835443207327,.0023274302532609,.0046085126124972,.002232754062243,.0017788682234644,.0030235509402464,.0009569800584703,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1bn.relative_monthyear_aux#1.treat,-10.21017470750189,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,.6236372144657002,.0008184416782173,4.902522229608619,2.625057544236708,2.371677360743043,2.180751663328476,2.17862107310358,2.650338678340334,2.26359913517557,1.62436954344474,1.417136150327864,1.235545677167697,1.288667556405558,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_monthyear_aux#1.treat,-3.490877915391962,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,-.1043612030145483,.0015304918939181,2.625057544236708,6.257817030082567,2.363742591855841,2.167344531594533,2.109286275887609,2.534561269754658,2.342697087313831,1.744006193296146,1.555431151156382,1.357238661903565,1.423768549179181,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_monthyear_aux#1.treat,-10.8077468672326,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,-.3942394228908839,-.0003358160644878,2.371677360743043,2.363742591855841,6.634192997596991,2.167970907440569,2.038253920932327,2.34138352370363,2.23251493161161,1.779879016249434,1.616193503052057,1.449153695009452,1.465706152249739,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_monthyear_aux#1.treat,-2.957033712581977,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,.4923158902509948,-.0012222018747331,2.180751663328476,2.167344531594533,2.167970907440569,4.02937611245019,1.872424199207443,2.114105622821175,1.706760114838667,1.759321137383852,1.671048980552744,1.628927635761491,1.484817080143958,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_monthyear_aux#1.treat,-6.703032461109626,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,.8420809855245349,-.0009835443207327,2.17862107310358,2.109286275887609,2.038253920932327,1.872424199207443,5.694422140589358,1.53705579569243,.8393343052972703,1.038252796722965,.8234543538722441,.7362057112839662,1.008377139871976,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,7.relative_monthyear_aux#1.treat,-25.15516405865874,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,.2682327410744684,.0023274302532609,2.650338678340334,2.534561269754658,2.34138352370363,2.114105622821175,1.53705579569243,11.31100490070138,.5587352183646038,.6382019287134857,.206522698076317,-.1178906659247061,-.3970393019197878,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8.relative_monthyear_aux#1.treat,-23.64711792650853,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,-1.993132696672571,.0046085126124972,2.26359913517557,2.342697087313831,2.23251493161161,1.706760114838667,.8393343052972703,.5587352183646038,17.36645939215101,1.5101089473381,1.043978586588743,.6843081858817655,.4730669991220231,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9.relative_monthyear_aux#1.treat,-8.747216164031787,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,-1.446964030273177,.002232754062243,1.62436954344474,1.744006193296146,1.779879016249434,1.759321137383852,1.038252796722965,.6382019287134857,1.5101089473381,6.274619597238754,3.54044852215571,3.657620575565691,3.725831989484597,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10.relative_monthyear_aux#1.treat,-7.611601689333678,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,-1.892656196688375,.0017788682234644,1.417136150327864,1.555431151156382,1.616193503052057,1.671048980552744,.8234543538722441,.206522698076317,1.043978586588743,3.54044852215571,7.180995269810497,4.128610101765388,4.144264778652735,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11.relative_monthyear_aux#1.treat,-16.80752238490993,105.0174475555158,0,0,0,0,0,0,0,0,0,0,0,0,-1.769860174231074,.0030235509402464,1.235545677167697,1.357238661903565,1.449153695009452,1.628927635761491,.7362057112839662,-.1178906659247061,.6843081858817655,3.657620575565691,4.128610101765388,10.99474985171356,4.838813376514146,,,,,,,,,,,,,,,,,,,,,,,,
